# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t             = 0.880130
  n_valid       = 39314/40062
  mean(angle°)  = 19.2408
  std(angle°)   = 26.2157
  valeurs (degrés) :
    p000000    3.1722°
    p000001    3.9669°
    p000002    1.2116°
    p000003    1.4021°
    p000004    3.2212°
    p000005    1.2680°
    p000006    0.8052°
    p000007    0.6122°
    p000008    0.4282°
    p000009    4.2636°
    p000010    1.5121°
    p000011    3.4687°
    p000012    1.8070°
    p000013    0.7950°
    p000014    1.0009°
    p000015    1.2046°
    p000016    0.8077°
    p000017    1.7923°
    p000018    0.6147°
    p000019    0.7232°
    p000020    0.5944°
    p000021    0.4922°
    p000022    1.2173°
    p000023    0.8441°
    p000024    0.5535°
    p000025    4.2642°
    p000026    8.4376°
    p000027    7.8243°
    p000028    2.0379°
    p000029    1.7273°
    p000030    7.4304°
    p000031    8.4649°
    p000032    6.8604°
    p000033    5.4529°
    p000034   25.4659°
    p000035    9.4037°
    p000036   51.8596°
    p000037   31.3525°
    p000038   18.7858°
    p000039    9.2660°
    p000040   10.7756°
    p000041    5.6576°
    p000042   23.0027°
    p000043   32.4026°
    p000044   13.8052°
    p000045    9.8263°
    p000046    5.3319°
    p000047   12.0287°
    p000048    8.2743°
    p000049   14.2968°
    p000050    8.9240°
    p000051    8.6409°
    p000052    6.6756°
    p000053    6.5387°
    p000054    8.5455°
    p000055    6.7908°
    p000056    4.4618°
    p000057    4.4141°
    p000058    4.3217°
    p000059    8.6873°
    p000060    6.9467°
    p000061    9.0870°
    p000062    7.1725°
    p000063    4.6503°
    p000064    4.5605°
    p000065    3.2047°
    p000066    3.3394°
    p000067    2.9723°
    p000068    1.4611°
    p000069    1.7476°
    p000070    1.8561°
    p000071    3.3436°
    p000072    3.1827°
    p000073    1.9425°
    p000074    2.0400°
    p000075    1.5248°
    p000076    0.8901°
    p000077    1.4570°
    p000078    1.0750°
    p000079    0.3406°
    p000080    0.4831°
    p000081    0.8507°
    p000082    1.6170°
    p000083    1.6802°
    p000084    1.2243°
    p000085    0.9474°
    p000086    0.3963°
    p000087    0.6042°
    p000088    1.7219°
    p000089    1.3125°
    p000090    2.0758°
    p000091    2.4416°
    p000092    1.6360°
    p000093    2.4432°
    p000094    1.9923°
    p000095    8.7908°
    p000096    9.0292°
    p000097    6.0897°
    p000098    6.1098°
    p000099    9.2163°
    p000100    6.2053°
    p000101    4.2112°
    p000102    4.2767°
    p000103    4.4507°
    p000104    9.2418°
    p000105    6.4399°
    p000106    4.2389°
    p000107    3.0128°
    p000108    2.9717°
    p000109    1.6797°
    p000110    2.0603°
    p000111    3.0765°
    p000112    3.2402°
    p000113    1.6607°
    p000114    2.2181°
    p000115    0.7835°
    p000116    0.5735°
    p000117    0.5712°
    p000118    1.2448°
    p000119    1.0680°
    p000120    1.1569°
    p000121    0.8704°
    p000122    0.5028°
    p000123    1.4381°
    p000124    1.6015°
    p000125    1.7792°
    p000126    1.5736°
    p000127    1.6348°
    p000128    0.7096°
    p000129    0.9022°
    p000130    1.1586°
    p000131    2.4350°
    p000132    2.0316°
    p000133    2.6317°
    p000134    2.8752°
    p000135    3.2432°
    p000136    3.2810°
    p000137    2.4259°
    p000138    1.9933°
    p000139    1.7005°
    p000140    2.3348°
    p000141    0.8751°
    p000142    1.6766°
    p000143    0.4819°
    p000144    3.1000°
    p000145    3.4304°
    p000146    3.0805°
    p000147    2.8957°
    p000148    3.9270°
    p000149    2.0123°
    p000150    0.7888°
    p000151    8.9185°
    p000152    8.9574°
    p000153    6.8407°
    p000154    7.0281°
    p000155    8.8165°
    p000156    6.5194°
    p000157    4.9438°
    p000158    5.2232°
