# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t           = 0.880130
  n_valid     = 39314/40062
  mean(kappa) = +0.429595
  std(kappa)  = 0.788772
  convexe     : 27638  (70.3%)
  concave     : 11676  (29.7%)
  plan (~0)   : 8  (0.0%)
  valeurs :
    p000000  +0.285023
    p000001  +0.310188
    p000002  +0.140419
    p000003  +0.136874
    p000004  +0.356766
    p000005  +0.171355
    p000006  +0.085298
    p000007  +0.058564
    p000008  +0.044703
    p000009  +0.406377
    p000010  +0.219654
    p000011  +0.427798
    p000012  +0.233192
    p000013  +0.146374
    p000014  +0.132318
    p000015  +0.068467
    p000016  +0.031630
    p000017  +0.079577
    p000018  +0.036781
    p000019  +0.030257
    p000020  +0.003962
    p000021  +0.022382
    p000022  +0.004409
    p000023  -0.003857
    p000024  -0.019492
    p000025  -0.233933
    p000026  -0.108972
    p000027  -0.003156
    p000028  -0.209061
    p000029  -0.056325
    p000030  +0.244560
    p000031  +0.528120
    p000032  +0.230610
    p000033  -0.039202
    p000034  -0.142233
    p000035  +0.049603
    p000036  +0.243068
    p000037  -0.155384
    p000038  +0.352983
    p000039  +0.620673
    p000040  +0.690884
    p000041  +0.560269
    p000042  +0.754015
    p000043  +0.690242
    p000044  +0.587266
    p000045  +0.476944
    p000046  +0.346226
    p000047  +0.122772
    p000048  +0.343739
    p000049  +0.203037
    p000050  +0.912742
    p000051  +0.914946
    p000052  +0.693839
    p000053  +0.695987
    p000054  +0.913652
    p000055  +0.685990
    p000056  +0.482063
    p000057  +0.485577
    p000058  +0.483556
    p000059  +0.939474
    p000060  +0.693402
    p000061  +0.995579
    p000062  +0.717900
    p000063  +0.502925
    p000064  +0.488953
    p000065  +0.341654
    p000066  +0.330597
    p000067  +0.360447
    p000068  +0.286224
    p000069  +0.265844
    p000070  +0.246084
    p000071  +0.329925
    p000072  +0.329045
    p000073  +0.232526
    p000074  +0.226561
    p000075  +0.180945
    p000076  +0.157035
    p000077  +0.184994
    p000078  +0.204293
    p000079  +0.152356
    p000080  +0.178383
    p000081  +0.209524
    p000082  +0.217616
    p000083  +0.235152
    p000084  +0.172696
    p000085  +0.189858
    p000086  +0.214951
    p000087  +0.241856
    p000088  +0.240972
    p000089  +0.265039
    p000090  +0.272218
    p000091  +0.250200
    p000092  +0.268097
    p000093  +0.287758
    p000094  +0.295968
    p000095  +0.863722
    p000096  +0.879261
    p000097  +0.666131
    p000098  +0.654892
    p000099  +0.896465
    p000100  +0.681341
    p000101  +0.469513
    p000102  +0.460712
    p000103  +0.451486
    p000104  +0.902104
    p000105  +0.689008
    p000106  +0.475344
    p000107  +0.325200
    p000108  +0.323311
    p000109  +0.221532
    p000110  +0.218734
    p000111  +0.318790
    p000112  +0.312969
    p000113  +0.213684
    p000114  +0.207682
    p000115  +0.051503
    p000116  +0.041062
    p000117  +0.067239
    p000118  +0.086648
    p000119  +0.071370
    p000120  +0.087264
    p000121  +0.107119
    p000122  +0.096749
    p000123  +0.122524
    p000124  +0.128007
    p000125  +0.137039
    p000126  +0.148182
    p000127  +0.159272
    p000128  +0.129266
    p000129  +0.128055
    p000130  +0.154941
    p000131  +0.152701
    p000132  +0.112860
    p000133  +0.186168
    p000134  +0.264700
    p000135  +0.251052
    p000136  +0.222058
    p000137  +0.207265
    p000138  +0.219673
    p000139  +0.257432
    p000140  +0.263705
    p000141  +0.283532
    p000142  +0.302019
    p000143  +0.265868
    p000144  +0.219419
    p000145  +0.232344
    p000146  +0.252979
    p000147  +0.312556
    p000148  +0.311812
    p000149  +0.276903
    p000150  +0.296791
    p000151  +0.843128
    p000152  +0.841627
    p000153  +0.650518
    p000154  +0.656934
    p000155  +0.838044
    p000156  +0.642893
