# NU — variation géométrique ν(p,t)
# Mellado et al. (2012) Section 4.2, Eq. 5 :
#   ν(p,t) = (dτ/dt)² + (t·dη/dt)² + (t²·dκ/dt)²
# ν faible : échelle pertinente (descripteur stable)
# ν élevé  : échelle instable / structure fine en train de changer
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t           = 0.880130
  n_valid     = 39314/40062
  mean(nu)    = 1.290049
  std(nu)     = 5.249865
  valeurs :
    p000000  0.044877
    p000001  0.070339
    p000002  0.011348
    p000003  0.005026
    p000004  0.085514
    p000005  0.011983
    p000006  0.003119
    p000007  0.003332
    p000008  0.007555
    p000009  0.082298
    p000010  0.005880
    p000011  0.093035
    p000012  0.007191
    p000013  0.001360
    p000014  0.001903
    p000015  0.001400
    p000016  0.003601
    p000017  0.002284
    p000018  0.003708
    p000019  0.004824
    p000020  0.004947
    p000021  0.000238
    p000022  0.002758
    p000023  0.002557
    p000024  0.000155
    p000025  0.201966
    p000026  0.121588
    p000027  1.063379
    p000028  0.770429
    p000029  2.294861
    p000030  0.640807
    p000031  0.483597
    p000032  0.936091
    p000033  1.507088
    p000034  0.792620
    p000035  1.509667
    p000036  0.108375
    p000037  1.465194
    p000038  1.495873
    p000039  0.704352
    p000040  0.313947
    p000041  0.354668
    p000042  0.541392
    p000043  0.417441
    p000044  0.444956
    p000045  0.571278
    p000046  0.848242
    p000047  1.398468
    p000048  1.086843
    p000049  1.473502
    p000050  0.168665
    p000051  0.190197
    p000052  0.275348
    p000053  0.316804
    p000054  0.247471
    p000055  0.267260
    p000056  0.057156
    p000057  0.058637
    p000058  0.059093
    p000059  0.417880
    p000060  0.333789
    p000061  0.629691
    p000062  0.841011
    p000063  0.045660
    p000064  0.040907
    p000065  0.034950
    p000066  0.030589
    p000067  0.036214
    p000068  0.019994
    p000069  0.021526
    p000070  0.017947
    p000071  0.026369
    p000072  0.024269
    p000073  0.010532
    p000074  0.008172
    p000075  0.002497
    p000076  0.002734
    p000077  0.003753
    p000078  0.002276
    p000079  0.004162
    p000080  0.006117
    p000081  0.003480
    p000082  0.002427
    p000083  0.002661
    p000084  0.005167
    p000085  0.008549
    p000086  0.009416
    p000087  0.007708
    p000088  0.003672
    p000089  0.009585
    p000090  0.010679
    p000091  0.003068
    p000092  0.002910
    p000093  0.016285
    p000094  0.016579
    p000095  0.103887
    p000096  0.099144
    p000097  0.323169
    p000098  0.300874
    p000099  0.097604
    p000100  0.346917
    p000101  0.048967
    p000102  0.051339
    p000103  0.056357
    p000104  0.124422
    p000105  0.356989
    p000106  0.055770
    p000107  0.020234
    p000108  0.017832
    p000109  0.006279
    p000110  0.006375
    p000111  0.017724
    p000112  0.020820
    p000113  0.007278
    p000114  0.007990
    p000115  0.005858
    p000116  0.004267
    p000117  0.003060
    p000118  0.004387
    p000119  0.002651
    p000120  0.001875
    p000121  0.002690
    p000122  0.004150
    p000123  0.005935
    p000124  0.002890
    p000125  0.003156
    p000126  0.003334
    p000127  0.004136
    p000128  0.003204
    p000129  0.004562
    p000130  0.005964
    p000131  0.007200
    p000132  0.007735
    p000133  0.007264
    p000134  0.007411
    p000135  0.009132
    p000136  0.012192
    p000137  0.004476
    p000138  0.002438
    p000139  0.005161
    p000140  0.007224
    p000141  0.020472
    p000142  0.025003
    p000143  0.010943
    p000144  0.013245
    p000145  0.018464
    p000146  0.030148
    p000147  0.030700
    p000148  0.030835
    p000149  0.038824
    p000150  0.063307
    p000151  0.071620
    p000152  0.077807
    p000153  0.256101
    p000154  0.200751
    p000155  0.100017
    p000156  0.298945
    p000157  0.087563
    p000158  0.095290
    p000159  0.098935
    p000160  0.107268
    p000161  0.300530
    p000162  0.070363
    p000163  0.023478
    p000164  0.028473
    p000165  0.009486
    p000166  0.012563
    p000167  0.033463
    p000168  0.034360
    p000169  0.014638
    p000170  0.014973
    p000171  0.040068
    p000172  0.067587
