# PHI — fitness ϕ (qualité d'alignement du fit)
# Mellado et al. (2012) Section 4.1 : ϕ = Σwi(t)∇su(qi)·ni / Σwi(t)
# ϕ = 1 : fit parfait   ϕ ≈ 0 : fit incohérent (bruit, bord, normales incohérentes)
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t           = 0.880130
  n_valid     = 39314/40062
  mean(phi)   = 0.682275
  std(phi)    = 0.328558
  valeurs :
    p000000  0.994294
    p000001  0.993439
    p000002  0.998410
    p000003  0.998462
    p000004  0.992520
    p000005  0.998063
    p000006  0.995711
    p000007  0.996160
    p000008  0.997049
    p000009  0.991548
    p000010  0.997131
    p000011  0.991415
    p000012  0.997332
    p000013  0.993619
    p000014  0.993856
    p000015  0.989544
    p000016  0.991864
    p000017  0.989253
    p000018  0.987713
    p000019  0.987630
    p000020  0.988720
    p000021  0.992637
    p000022  0.994062
    p000023  0.988632
    p000024  0.990618
    p000025  0.973994
    p000026  0.962577
    p000027  0.809832
    p000028  0.920107
    p000029  0.760263
    p000030  0.738509
    p000031  0.685736
    p000032  0.687884
    p000033  0.774454
    p000034  0.415087
    p000035  0.492499
    p000036  0.334267
    p000037  0.319708
    p000038  0.520400
    p000039  0.668773
    p000040  0.667678
    p000041  0.653227
    p000042  0.669379
    p000043  0.623515
    p000044  0.628519
    p000045  0.633452
    p000046  0.652066
    p000047  0.711922
    p000048  0.653190
    p000049  0.722906
    p000050  0.862837
    p000051  0.870958
    p000052  0.930111
    p000053  0.924215
    p000054  0.872894
    p000055  0.932184
    p000056  0.971315
    p000057  0.971202
    p000058  0.969609
    p000059  0.866107
    p000060  0.929349
    p000061  0.847386
    p000062  0.920289
    p000063  0.967203
    p000064  0.969764
    p000065  0.989513
    p000066  0.989824
    p000067  0.988273
    p000068  0.995810
    p000069  0.996826
    p000070  0.996968
    p000071  0.989422
    p000072  0.988641
    p000073  0.996680
    p000074  0.996261
    p000075  0.998032
    p000076  0.999186
    p000077  0.998779
    p000078  0.997710
    p000079  0.999519
    p000080  0.999245
    p000081  0.998879
    p000082  0.998381
    p000083  0.997508
    p000084  0.998846
    p000085  0.998872
    p000086  0.998753
    p000087  0.998368
    p000088  0.998389
    p000089  0.997257
    p000090  0.997031
    p000091  0.997941
    p000092  0.997144
    p000093  0.996431
    p000094  0.996054
    p000095  0.848385
    p000096  0.847355
    p000097  0.912303
    p000098  0.911294
    p000099  0.848911
    p000100  0.913670
    p000101  0.964742
    p000102  0.963098
    p000103  0.961908
    p000104  0.853230
    p000105  0.917012
    p000106  0.966939
    p000107  0.987216
    p000108  0.985615
    p000109  0.995511
    p000110  0.994603
    p000111  0.984090
    p000112  0.982835
    p000113  0.993705
    p000114  0.992954
    p000115  0.999530
    p000116  0.999724
    p000117  0.999672
    p000118  0.999242
    p000119  0.999229
    p000120  0.999313
    p000121  0.999457
    p000122  0.999641
    p000123  0.998901
    p000124  0.997584
    p000125  0.997868
    p000126  0.998229
    p000127  0.998591
    p000128  0.999564
    p000129  0.999483
    p000130  0.998453
    p000131  0.996776
    p000132  0.997398
    p000133  0.996335
    p000134  0.992299
    p000135  0.991078
    p000136  0.990130
    p000137  0.996139
    p000138  0.996097
    p000139  0.994161
    p000140  0.993350
    p000141  0.991829
    p000142  0.989654
    p000143  0.993305
    p000144  0.993263
    p000145  0.991058
    p000146  0.988096
    p000147  0.986403
    p000148  0.981876
    p000149  0.984288
    p000150  0.978184
    p000151  0.859950
    p000152  0.854490
    p000153  0.907830
    p000154  0.909606
    p000155  0.850917
    p000156  0.907759
    p000157  0.958464
    p000158  0.957391
    p000159  0.956898
    p000160  0.849742
    p000161  0.909550
    p000162  0.960305
    p000163  0.981694
    p000164  0.980766
    p000165  0.992387
    p000166  0.991986
    p000167  0.980416
    p000168  0.980569
    p000169  0.991923
    p000170  0.992232
    p000171  0.975791
    p000172  0.966540
