# TAU — offset algébrique (τ)
# Mellado et al. (2012) Eq. 4 : τ = s_û(p)
# τ > 0 : p à l'extérieur   τ = 0 : sur la surface   τ < 0 : à l'intérieur
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t         = 0.880130
  n_valid   = 39314/40062
  mean(tau) = -0.004806
  std(tau)  = 0.063300
  valeurs   :
    p000000  -0.005822
    p000001  -0.005185
    p000002  -0.002255
    p000003  -0.003987
    p000004  -0.005257
    p000005  -0.002298
    p000006  -0.000984
    p000007  -0.000979
    p000008  -0.001194
    p000009  -0.003512
    p000010  -0.002395
    p000011  -0.000440
    p000012  +0.000354
    p000013  +0.000525
    p000014  -0.001598
    p000015  -0.000030
    p000016  -0.000227
    p000017  +0.001623
    p000018  -0.002450
    p000019  -0.003652
    p000020  -0.004464
    p000021  -0.001269
    p000022  +0.001663
    p000023  -0.005626
    p000024  -0.004227
    p000025  -0.019758
    p000026  -0.000357
    p000027  +0.064821
    p000028  +0.000660
    p000029  +0.061586
    p000030  +0.102615
    p000031  +0.137695
    p000032  +0.115634
    p000033  +0.055400
    p000034  +0.212641
    p000035  +0.165465
    p000036  +0.222318
    p000037  +0.221525
    p000038  +0.158680
    p000039  +0.145758
    p000040  +0.141445
    p000041  +0.141336
    p000042  +0.117009
    p000043  +0.108537
    p000044  +0.140124
    p000045  +0.137994
    p000046  +0.122116
    p000047  +0.078437
    p000048  +0.112711
    p000049  +0.070800
    p000050  -0.014128
    p000051  -0.012832
    p000052  -0.009620
    p000053  -0.010340
    p000054  -0.012194
    p000055  -0.009275
    p000056  -0.003119
    p000057  -0.002858
    p000058  -0.002865
    p000059  -0.011876
    p000060  -0.008772
    p000061  -0.014005
    p000062  -0.009553
    p000063  -0.004535
    p000064  -0.003271
    p000065  -0.001424
    p000066  -0.001079
    p000067  -0.002917
    p000068  -0.003937
    p000069  -0.003525
    p000070  -0.002941
    p000071  -0.000764
    p000072  -0.000794
    p000073  -0.001536
    p000074  -0.001008
    p000075  -0.001777
    p000076  -0.002407
    p000077  -0.002897
    p000078  -0.001818
    p000079  -0.002765
    p000080  -0.003656
    p000081  -0.004714
    p000082  -0.003176
    p000083  -0.001677
    p000084  -0.001520
    p000085  -0.002526
    p000086  -0.004272
    p000087  -0.004496
    p000088  -0.004105
    p000089  -0.003725
    p000090  -0.002713
    p000091  -0.001926
    p000092  +0.000339
    p000093  -0.000324
    p000094  +0.000230
    p000095  -0.018095
    p000096  -0.017846
    p000097  -0.012127
    p000098  -0.012385
    p000099  -0.017551
    p000100  -0.012137
    p000101  -0.003359
    p000102  -0.003393
    p000103  -0.003744
    p000104  -0.016400
    p000105  -0.011801
    p000106  -0.003513
    p000107  -0.001226
    p000108  -0.001240
    p000109  -0.000918
    p000110  -0.000697
    p000111  -0.001678
    p000112  -0.002112
    p000113  -0.001045
    p000114  -0.001373
    p000115  -0.003344
    p000116  -0.001610
    p000117  -0.002126
    p000118  -0.003452
    p000119  -0.001310
    p000120  -0.001665
    p000121  -0.001935
    p000122  -0.002201
    p000123  -0.002796
    p000124  -0.001220
    p000125  -0.000960
    p000126  -0.000823
    p000127  -0.001234
    p000128  -0.002721
    p000129  -0.002743
    p000130  -0.002612
    p000131  -0.002605
    p000132  -0.003008
    p000133  -0.001131
    p000134  +0.001506
    p000135  -0.001315
    p000136  -0.003068
    p000137  -0.000633
    p000138  +0.000118
    p000139  +0.002274
    p000140  +0.002051
    p000141  +0.006716
    p000142  +0.007686
    p000143  +0.005181
    p000144  +0.006436
    p000145  +0.009398
    p000146  +0.012988
    p000147  +0.005788
    p000148  +0.003654
    p000149  +0.014900
    p000150  +0.015922
    p000151  -0.016862
    p000152  -0.017847
    p000153  -0.014858
    p000154  -0.014631
    p000155  -0.018903
    p000156  -0.014791
    p000157  -0.006941
    p000158  -0.007933
    p000159  -0.008942
    p000160  -0.018271
