# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 12
n_points  = 223

[ECHELLE 01]
  t             = 0.416626
  n_valid       = 223/223
  mean(angle°)  = 7.6310
  std(angle°)   = 4.6787
  valeurs (degrés) :
    p000000    8.2727°
    p000001    4.9430°
    p000002   11.5950°
    p000003    7.3953°
    p000004   11.1837°
    p000005    8.8678°
    p000006   14.0178°
    p000007    2.1623°
    p000008   17.3950°
    p000009    3.3161°
    p000010    7.6474°
    p000011    6.4966°
    p000012    6.5969°
    p000013    4.2553°
    p000014    3.1429°
    p000015    7.1732°
    p000016    1.6927°
    p000017    9.2424°
    p000018    4.2649°
    p000019    5.9793°
    p000020   19.9209°
    p000021    2.4134°
    p000022    5.0789°
    p000023    4.4896°
    p000024   11.1983°
    p000025    4.4606°
    p000026    2.2872°
    p000027    0.3226°
    p000028   17.1948°
    p000029   11.2940°
    p000030    6.1486°
    p000031    2.0811°
    p000032   12.9242°
    p000033    9.2658°
    p000034    8.4884°
    p000035    6.4303°
    p000036    9.2565°
    p000037    8.7286°
    p000038    1.9675°
    p000039    1.8443°
    p000040    2.0789°
    p000041    3.7184°
    p000042   10.2763°
    p000043   14.9906°
    p000044    3.9342°
    p000045    4.2354°
    p000046    6.9064°
    p000047    3.5918°
    p000048    5.6167°
    p000049    8.9240°
    p000050   16.6480°
    p000051    3.7706°
    p000052   22.5054°
    p000053   14.7354°
    p000054    3.6518°
    p000055    5.8635°
    p000056    4.2805°
    p000057    4.8883°
    p000058    4.4309°
    p000059    8.1298°
    p000060   18.9654°
    p000061    5.8509°
    p000062   18.7481°
    p000063    5.9619°
    p000064    7.4697°
    p000065    8.5769°
    p000066   14.6543°
    p000067    8.6542°
    p000068    8.9624°
    p000069    8.0996°
    p000070    9.0813°
    p000071   17.8980°
    p000072    2.3321°
    p000073   11.3325°
    p000074    5.8242°
    p000075   13.3489°
    p000076    3.3880°
    p000077    2.7061°
    p000078    3.7268°
    p000079    6.8055°
    p000080   11.9953°
    p000081    5.1455°
    p000082    2.4257°
    p000083    9.6836°
    p000084    5.5851°
    p000085    9.3682°
    p000086    3.4580°
    p000087    7.6064°
    p000088    4.1288°
    p000089    7.6383°
    p000090    3.0340°
    p000091    7.6937°
    p000092   15.9770°
    p000093    8.6472°
    p000094   13.2264°
    p000095    5.4065°
    p000096    9.8148°
    p000097    7.5961°
    p000098    8.5620°
    p000099   10.0493°
    p000100    1.9669°
    p000101   10.3574°
    p000102    8.5497°
    p000103    6.1114°
    p000104   12.7445°
    p000105   13.7587°
    p000106    1.7194°
    p000107   36.6566°
    p000108   14.8112°
    p000109    0.2114°
    p000110    5.1058°
    p000111    5.9434°
    p000112    7.9807°
    p000113    2.7032°
    p000114    8.3799°
    p000115    2.6683°
    p000116    5.6474°
    p000117    6.1562°
    p000118    2.0809°
    p000119   11.5494°
    p000120    4.9077°
    p000121    2.6996°
    p000122    5.1022°
    p000123    6.0258°
    p000124    8.3312°
    p000125   14.1664°
    p000126    8.5473°
    p000127   13.5963°
    p000128    5.0577°
    p000129    7.5403°
    p000130    4.0252°
    p000131   11.9740°
    p000132    1.3476°
    p000133    7.3124°
    p000134    5.0953°
    p000135    3.0310°
    p000136    4.0539°
    p000137    5.0909°
    p000138   10.0080°
    p000139    3.3543°
    p000140    1.8622°
    p000141    7.8159°
    p000142    6.4270°
    p000143    7.1773°
    p000144    5.2571°
    p000145    6.4217°
    p000146    5.6574°
    p000147    1.3076°
    p000148   12.5569°
    p000149    6.3534°
    p000150    8.2907°
    p000151    9.2470°
    p000152    4.0917°
    p000153    5.4549°
    p000154   17.0500°
    p000155    1.7018°
    p000156    8.2102°
    p000157    8.4026°
    p000158    4.8993°
    p000159    7.5249°
    p000160   15.6078°
    p000161   18.1331°
    p000162    4.6874°
    p000163    6.0105°
    p000164   13.8868°
    p000165    7.2705°
    p000166    5.5975°
    p000167    4.6379°
    p000168    7.7214°
    p000169   11.9752°
    p000170    9.3088°
    p000171   18.1318°
    p000172    8.6377°
    p000173   10.2497°
    p000174    8.5814°
    p000175    3.4057°
    p000176    8.9842°
    p000177    8.1975°
    p000178    7.5566°
    p000179    2.1127°
    p000180    3.1622°
    p000181    5.2180°
    p000182    3.9142°
    p000183    3.9435°
    p000184   12.5663°
    p000185    2.7618°
    p000186   13.7745°
    p000187    6.5230°
    p000188    8.3494°
    p000189    3.8062°
    p000190    6.8988°
    p000191    5.1389°
    p000192    2.6614°
    p000193    6.7400°
    p000194    2.9607°
    p000195   17.7282°
    p000196   10.2343°
    p000197    8.2653°
    p000198    9.7959°
    p000199   12.0362°
    p000200    5.4985°
    p000201    5.5431°
    p000202    3.1028°
    p000203    3.7392°
    p000204    3.6531°
    p000205    8.7039°
    p000206    4.0900°
    p000207    5.9011°
    p000208    7.2465°
    p000209   11.5146°
    p000210    4.0053°
    p000211    5.7217°
    p000212    6.9404°
    p000213    7.9108°
    p000214    6.4518°
    p000215   10.0470°
    p000216   10.2395°
    p000217   10.1394°
    p000218    8.4902°
    p000219    9.7219°
    p000220    3.6416°
    p000221    5.1473°
    p000222   10.9739°

[ECHELLE 02]
  t             = 0.460385
  n_valid       = 223/223
  mean(angle°)  = 8.3228
  std(angle°)   = 5.2204
  valeurs (degrés) :
    p000000    8.9533°
    p000001    5.4085°
    p000002   12.9910°
    p000003    7.8221°
    p000004   12.7309°
    p000005   10.1748°
    p000006   15.8629°
    p000007    2.0956°
    p000008   18.2815°
    p000009    4.7031°
    p000010    8.7947°
