# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 12
n_points  = 223

[ECHELLE 01]
  t           = 0.416626
  n_valid     = 223/223
  mean(kappa) = +2.018645
  std(kappa)  = 0.546902
  convexe     : 221  (99.1%)
  concave     : 2  (0.9%)
  plan (~0)   : 0  (0.0%)
  valeurs :
    p000000  +2.258442
    p000001  +1.771123
    p000002  +2.041246
    p000003  +2.149056
    p000004  +1.894457
    p000005  +1.865918
    p000006  +1.958786
    p000007  +1.815385
    p000008  +2.233230
    p000009  +2.383842
    p000010  +2.438379
    p000011  +2.438353
    p000012  +2.379223
    p000013  +2.420110
    p000014  +2.387479
    p000015  +2.333588
    p000016  +2.468636
    p000017  +2.372215
    p000018  +2.220902
    p000019  +2.271562
    p000020  +2.025508
    p000021  +2.218285
    p000022  +2.101292
    p000023  +2.234881
    p000024  +1.732192
    p000025  +1.827588
    p000026  +2.134211
    p000027  +2.157211
    p000028  +1.757666
    p000029  +1.902743
    p000030  +2.200686
    p000031  +2.177418
    p000032  +2.312594
    p000033  +2.267062
    p000034  +2.392571
    p000035  +2.382362
    p000036  +2.386533
    p000037  +2.475783
    p000038  +2.547645
    p000039  +2.138630
    p000040  +1.918408
    p000041  +2.428913
    p000042  +2.197358
    p000043  +1.996251
    p000044  +1.967710
    p000045  +1.794093
    p000046  +1.952348
    p000047  +1.941846
    p000048  +2.005807
    p000049  +1.896100
    p000050  +1.992630
    p000051  +1.761917
    p000052  -0.574944
    p000053  +1.517990
    p000054  +1.564083
    p000055  +2.179881
    p000056  +1.844397
    p000057  +1.780341
    p000058  +1.752797
    p000059  +1.696881
    p000060  +1.716803
    p000061  +1.685159
    p000062  +1.347153
    p000063  +1.764376
    p000064  +2.463734
    p000065  +2.310259
    p000066  +1.821437
    p000067  +2.372281
    p000068  +2.313474
    p000069  +2.021271
    p000070  +2.355313
    p000071  +2.522213
    p000072  +2.109829
    p000073  +2.206866
    p000074  +1.695290
    p000075  +1.737254
    p000076  +2.445573
    p000077  +1.787735
    p000078  +1.767338
    p000079  +1.777508
    p000080  +1.738169
    p000081  +1.724039
    p000082  +1.745371
    p000083  +2.440128
    p000084  +2.370365
    p000085  +1.929447
    p000086  +2.108963
    p000087  +1.872190
    p000088  +2.189131
    p000089  +1.814853
    p000090  +2.270537
    p000091  +2.047710
    p000092  +2.219805
    p000093  +2.459194
    p000094  +2.334992
    p000095  +2.295357
    p000096  +2.482911
    p000097  +2.309969
    p000098  +2.025823
    p000099  +1.957081
    p000100  +1.821413
    p000101  +2.107563
    p000102  +2.431410
    p000103  +2.056523
    p000104  +1.849103
    p000105  +2.596930
    p000106  +2.629766
    p000107  -4.050986
    p000108  +1.318211
    p000109  +1.755298
    p000110  +1.791411
    p000111  +1.880539
    p000112  +2.158281
    p000113  +1.959419
    p000114  +1.734886
    p000115  +1.709911
    p000116  +1.690937
    p000117  +1.993048
    p000118  +2.397388
    p000119  +2.445613
    p000120  +2.463962
    p000121  +2.371402
    p000122  +2.364146
    p000123  +2.453226
    p000124  +2.295719
    p000125  +2.404236
    p000126  +2.393628
    p000127  +2.326646
    p000128  +2.403101
    p000129  +2.411489
    p000130  +2.289364
    p000131  +2.332453
    p000132  +2.212315
    p000133  +2.124046
    p000134  +2.158886
    p000135  +2.174682
    p000136  +2.257799
    p000137  +2.295909
    p000138  +2.038652
    p000139  +2.280081
    p000140  +1.982385
    p000141  +2.109473
    p000142  +2.184569
    p000143  +1.833076
    p000144  +1.865042
    p000145  +1.959942
    p000146  +2.093987
    p000147  +1.826200
    p000148  +2.210602
    p000149  +2.278669
    p000150  +2.324030
    p000151  +2.322736
    p000152  +2.299322
    p000153  +2.262178
    p000154  +2.051342
    p000155  +1.882258
    p000156  +1.912834
    p000157  +1.794895
    p000158  +1.844504
    p000159  +1.928884
    p000160  +2.068565
    p000161  +1.975293
    p000162  +2.235571
    p000163  +2.082074
    p000164  +1.999103
    p000165  +2.299117
    p000166  +1.868669
    p000167  +2.298330
    p000168  +2.420182
    p000169  +2.456818
    p000170  +2.029386
    p000171  +1.945518
    p000172  +2.017495
    p000173  +2.503150
    p000174  +2.377365
    p000175  +1.988847
    p000176  +1.996090
    p000177  +1.995314
    p000178  +1.819035
    p000179  +1.829738
    p000180  +1.871949
    p000181  +1.944207
    p000182  +1.846362
    p000183  +1.993810
    p000184  +1.981433
    p000185  +1.932406
    p000186  +2.053697
    p000187  +1.802666
    p000188  +1.848920
    p000189  +1.924918
    p000190  +1.770723
    p000191  +2.354908
    p000192  +2.534402
    p000193  +2.540160
    p000194  +1.881328
    p000195  +0.661204
    p000196  +0.011745
    p000197  +2.595283
    p000198  +2.550999
    p000199  +1.324983
    p000200  +2.404821
    p000201  +2.022839
    p000202  +2.263343
    p000203  +1.586087
    p000204  +1.770578
    p000205  +1.915156
    p000206  +2.080722
    p000207  +1.797336
    p000208  +1.748790
    p000209  +1.816541
    p000210  +1.776834
    p000211  +1.718031
    p000212  +1.703024
    p000213  +1.683756
    p000214  +2.363479
    p000215  +1.998801
    p000216  +1.815266
    p000217  +1.719827
    p000218  +1.699448
    p000219  +1.701633
    p000220  +1.742874
    p000221  +1.978618
    p000222  +2.276334

[ECHELLE 02]
  t           = 0.460385
  n_valid     = 223/223
  mean(kappa) = +1.969669
  std(kappa)  = 0.543005
  convexe     : 220  (98.7%)
  concave     : 3  (1.3%)
  plan (~0)   : 0  (0.0%)
  valeurs :
    p000000  +2.200534
    p000001  +1.762336
    p000002  +2.034684
    p000003  +2.116622
    p000004  +1.650625
