# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 12
n_points  = 17378

[ECHELLE 01]
  t             = 0.251312
  n_valid       = 16890/17378
  mean(angle°)  = 20.6075
  std(angle°)   = 13.2625
  valeurs (degrés) :
    p000000   19.6898°
    p000001    3.6083°
    p000002    3.5884°
    p000003   25.1812°
    p000004   27.1462°
    p000005   19.5695°
    p000006    7.3148°
    p000007    7.2909°
    p000008    9.8624°
    p000009    9.8870°
    p000010    7.2772°
    p000011    9.8501°
    p000012    9.3275°
    p000013   10.4678°
    p000014    9.3897°
    p000015    0.6241°
    p000016    0.3294°
    p000017   19.4332°
    p000018   19.4296°
    p000019    0.2821°
    p000020   19.4175°
    p000021   27.6013°
    p000022   29.5003°
    p000023   27.5931°
    p000024    5.4592°
    p000025    5.3109°
    p000026    0.1720°
    p000027    0.2037°
    p000028    5.4562°
    p000029    0.2015°
    p000030    0.0113°
    p000031    0.0096°
    p000032    0.0080°
    p000033   19.8676°
    p000034    0.3952°
    p000035    0.2211°
    p000036   21.9715°
    p000037   20.7432°
    p000038   23.1567°
    p000039    7.2765°
    p000040    9.8467°
    p000041    7.2847°
    p000042    9.8481°
    p000043    9.3375°
    p000044   10.4416°
    p000045    0.5239°
    p000046   19.4103°
    p000047    0.4035°
    p000048   19.4027°
    p000049   27.5630°
    p000050   29.4961°
    p000051    5.3065°
    p000052    0.1699°
    p000053    5.4524°
    p000054    0.1999°
    p000055    0.0150°
    p000056    0.0131°
    p000057   19.6801°
    p000058    3.6404°
    p000059    3.5461°
    p000060   25.1489°
    p000061   27.1317°
    p000062   19.5766°
    p000063    7.2783°
    p000064    9.8551°
    p000065    7.2818°
    p000066    9.8528°
    p000067    9.3418°
    p000068   10.4411°
    p000069    0.5186°
    p000070   19.4017°
    p000071    0.4000°
    p000072   19.3840°
    p000073   27.5718°
    p000074   29.4804°
    p000075    5.3107°
    p000076    0.1677°
    p000077    5.4475°
    p000078    0.1967°
    p000079    0.0192°
    p000080    0.0171°
    p000081   19.7973°
    p000082    0.3715°
    p000083    0.1897°
    p000084   21.8934°
    p000085   20.7187°
    p000086   23.1347°
    p000087    7.2747°
    p000088    9.8501°
    p000089    7.2709°
    p000090    9.8431°
    p000091    9.3275°
    p000092   10.4441°
    p000093    0.5111°
    p000094   19.3815°
    p000095    0.3889°
    p000096   19.3915°
    p000097   27.5664°
    p000098   29.4838°
    p000099    5.3035°
    p000100    0.1652°
    p000101    5.4410°
    p000102    0.1946°
    p000103    0.0241°
    p000104    0.0216°
    p000105   19.7218°
    p000106    3.6178°
    p000107    3.5914°
    p000108   25.1100°
    p000109   27.2262°
    p000110   19.6391°
    p000111    7.2712°
    p000112    9.8464°
    p000113    7.2727°
    p000114    9.8420°
    p000115    9.3462°
    p000116   10.4446°
    p000117    0.5098°
    p000118   19.3577°
    p000119    0.3994°
    p000120   19.3554°
    p000121   27.5522°
    p000122   29.4770°
    p000123    5.2942°
    p000124    0.1624°
    p000125    5.4445°
    p000126    0.1921°
    p000127    0.0295°
    p000128    0.0266°
    p000129   19.7829°
    p000130    0.4228°
    p000131    0.1223°
    p000132   21.9941°
    p000133   20.6994°
    p000134   23.1144°
    p000135    7.2623°
    p000136    9.8426°
    p000137    7.2651°
    p000138    9.8412°
    p000139    9.3297°
    p000140   10.4490°
    p000141    0.5219°
    p000142   19.3576°
    p000143    0.3980°
    p000144   19.3369°
    p000145   27.5545°
    p000146   29.4793°
    p000147    5.2919°
    p000148    0.1595°
    p000149    5.4477°
    p000150    0.1882°
    p000151    0.0356°
    p000152    0.0324°
    p000153   19.6960°
    p000154    3.6163°
    p000155    3.5653°
    p000156   25.1160°
    p000157   27.2256°
    p000158   19.6144°
    p000159    7.2571°
    p000160    9.8418°
    p000161    7.2613°
    p000162    9.8387°
    p000163    9.3362°
    p000164   10.4436°
    p000165    0.5127°
    p000166   19.3347°
    p000167    0.3830°
    p000168   19.3288°
    p000169   27.5425°
    p000170   29.4736°
    p000171    5.2980°
    p000172    0.1556°
    p000173    5.4298°
    p000174    0.1843°
    p000175    0.0426°
    p000176    0.0390°
    p000177   19.7785°
    p000178    0.3759°
    p000179    0.2219°
    p000180   21.8261°
    p000181   20.7396°
    p000182   23.1638°
    p000183    7.2600°
    p000184    9.8459°
    p000185    7.2586°
    p000186    9.8397°
    p000187    9.3381°
    p000188   10.4432°
    p000189    0.5010°
    p000190   19.2918°
    p000191    0.3817°
    p000192   19.2931°
    p000193   27.5652°
    p000194   29.4614°
    p000195    5.2956°
    p000196    0.1512°
    p000197    5.4329°
    p000198    0.1798°
    p000199    0.0505°
    p000200    0.0465°
    p000201   19.6895°
    p000202    3.6467°
    p000203    3.5245°
    p000204   25.1073°
    p000205   27.2356°
    p000206   19.6530°
    p000207    7.2499°
    p000208    9.8431°
    p000209    7.2520°
    p000210    9.8347°
    p000211    9.3348°
    p000212   10.4522°
    p000213    0.5043°
    p000214   19.2828°
    p000215    0.3830°
    p000216   19.2743°
    p000217   27.5344°
    p000218   29.4906°
    p000219    5.2926°
    p000220    0.1475°
    p000221    5.4288°
    p000222    0.1754°
    p000223    0.0596°
    p000224    0.0549°
    p000225   19.7545°
