# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 12
n_points  = 17378

[ECHELLE 01]
  t           = 0.251312
  n_valid     = 16890/17378
  mean(kappa) = +0.133472
  std(kappa)  = 0.207631
  convexe     : 14216  (84.2%)
  concave     : 2674  (15.8%)
  plan (~0)   : 7  (0.0%)
  valeurs :
    p000000  +0.128809
    p000001  +0.174689
    p000002  +0.161571
    p000003  +0.103155
    p000004  +0.187067
    p000005  +0.185067
    p000006  +0.067092
    p000007  +0.067573
    p000008  +0.077005
    p000009  +0.076612
    p000010  +0.068053
    p000011  +0.077414
    p000012  +0.086185
    p000013  +0.085874
    p000014  +0.085562
    p000015  -0.192219
    p000016  -0.190645
    p000017  -0.160671
    p000018  -0.162457
    p000019  -0.188162
    p000020  -0.158796
    p000021  -0.123575
    p000022  -0.125354
    p000023  -0.127129
    p000024  +0.060804
    p000025  +0.060926
    p000026  +0.045800
    p000027  +0.045220
    p000028  +0.062009
    p000029  +0.046622
    p000030  +0.046083
    p000031  +0.045338
    p000032  +0.044641
    p000033  +0.181878
    p000034  +0.163621
    p000035  +0.163566
    p000036  +0.179889
    p000037  +0.118724
    p000038  +0.111373
    p000039  +0.068746
    p000040  +0.078023
    p000041  +0.069378
    p000042  +0.078569
    p000043  +0.087211
    p000044  +0.086740
    p000045  -0.185963
    p000046  -0.156738
    p000047  -0.183912
    p000048  -0.154669
    p000049  -0.119499
    p000050  -0.121514
    p000051  +0.062217
    p000052  +0.047301
    p000053  +0.063387
    p000054  +0.048226
    p000055  +0.047729
    p000056  +0.046878
    p000057  +0.121506
    p000058  +0.174924
    p000059  +0.159293
    p000060  +0.093451
    p000061  +0.195325
    p000062  +0.190510
    p000063  +0.070150
    p000064  +0.079288
    p000065  +0.070850
    p000066  +0.079893
    p000067  +0.088379
    p000068  +0.087829
    p000069  -0.181861
    p000070  -0.152366
    p000071  -0.179544
    p000072  -0.150040
    p000073  -0.114935
    p000074  -0.117203
    p000075  +0.063714
    p000076  +0.049013
    p000077  +0.064953
    p000078  +0.050049
    p000079  +0.049601
    p000080  +0.048635
    p000081  +0.188106
    p000082  +0.163468
    p000083  +0.163649
    p000084  +0.187191
    p000085  +0.112002
    p000086  +0.103981
    p000087  +0.071726
    p000088  +0.080679
    p000089  +0.072509
    p000090  +0.081368
    p000091  +0.089656
    p000092  +0.089064
    p000093  -0.177206
    p000094  -0.147418
    p000095  -0.174574
    p000096  -0.144747
    p000097  -0.109723
    p000098  -0.112324
    p000099  +0.065382
    p000100  +0.050960
    p000101  +0.066728
    p000102  +0.052123
    p000103  +0.051728
    p000104  +0.050631
    p000105  +0.113371
    p000106  +0.174921
    p000107  +0.156494
    p000108  +0.082664
    p000109  +0.204145
    p000110  +0.196212
    p000111  +0.073522
    p000112  +0.082274
    p000113  +0.074424
    p000114  +0.083058
    p000115  +0.091178
    p000116  +0.090471
    p000117  -0.171942
    p000118  -0.141826
    p000119  -0.168993
    p000120  -0.138826
    p000121  -0.103881
    p000122  -0.106829
    p000123  +0.067275
    p000124  +0.053170
    p000125  +0.068773
    p000126  +0.054478
    p000127  +0.054139
    p000128  +0.052895
    p000129  +0.194871
    p000130  +0.163175
    p000131  +0.163576
    p000132  +0.195092
    p000133  +0.104625
    p000134  +0.095874
    p000135  +0.075539
    p000136  +0.084073
    p000137  +0.076576
    p000138  +0.084986
    p000139  +0.092847
    p000140  +0.092058
    p000141  -0.165999
    p000142  -0.135489
    p000143  -0.162670
    p000144  -0.132121
    p000145  -0.097277
    p000146  -0.100589
    p000147  +0.069450
    p000148  +0.055679
    p000149  +0.071099
    p000150  +0.057146
    p000151  +0.056873
    p000152  +0.055463
    p000153  +0.104293
    p000154  +0.174740
    p000155  +0.153229
    p000156  +0.070716
    p000157  +0.213696
    p000158  +0.202211
    p000159  +0.077850
    p000160  +0.086135
    p000161  +0.079033
    p000162  +0.087168
    p000163  +0.094783
    p000164  +0.093870
    p000165  -0.159313
    p000166  -0.128388
    p000167  -0.155565
    p000168  -0.124583
    p000169  -0.089878
    p000170  -0.093609
    p000171  +0.071937
    p000172  +0.058526
    p000173  +0.073676
    p000174  +0.060179
    p000175  +0.059973
    p000176  +0.058374
    p000177  +0.202406
    p000178  +0.162970
    p000179  +0.163556
    p000180  +0.203787
    p000181  +0.096468
    p000182  +0.086871
    p000183  +0.080494
    p000184  +0.088487
    p000185  +0.081830
    p000186  +0.089663
    p000187  +0.096969
    p000188  +0.095924
    p000189  -0.151785
    p000190  -0.120373
    p000191  -0.147568
    p000192  -0.116042
    p000193  -0.081459
    p000194  -0.085722
    p000195  +0.074739
    p000196  +0.061759
    p000197  +0.076668
    p000198  +0.063625
    p000199  +0.063494
    p000200  +0.061678
    p000201  +0.093860
    p000202  +0.174309
    p000203  +0.149327
    p000204  +0.057113
    p000205  +0.224225
    p000206  +0.208646
    p000207  +0.083472
    p000208  +0.091148
    p000209  +0.085011
    p000210  +0.092496
    p000211  +0.099455
    p000212  +0.098281
    p000213  -0.143270
    p000214  -0.111292
    p000215  -0.138506
    p000216  -0.106458
    p000217  -0.072032
    p000218  -0.076793
    p000219  +0.077931
    p000220  +0.065442
    p000221  +0.080064
    p000222  +0.067552
    p000223  +0.067499
    p000224  +0.065432
