# TAU — offset algébrique (τ)
# Mellado et al. (2012) Eq. 4 : τ = s_û(p)
# τ > 0 : p à l'extérieur   τ = 0 : sur la surface   τ < 0 : à l'intérieur
#
n_scales  = 12
n_points  = 17378

[ECHELLE 01]
  t         = 0.251312
  n_valid   = 16890/17378
  mean(tau) = 0.004141
  std(tau)  = 0.015746
  valeurs   :
    p000000  -0.017308
    p000001  -0.011254
    p000002  -0.011179
    p000003  -0.015617
    p000004  -0.016102
    p000005  -0.017550
    p000006  -0.001233
    p000007  -0.001221
    p000008  +0.003265
    p000009  +0.003263
    p000010  -0.001226
    p000011  +0.003275
    p000012  +0.010081
    p000013  +0.010086
    p000014  +0.010085
    p000015  -0.000223
    p000016  -0.000231
    p000017  -0.006263
    p000018  -0.006253
    p000019  -0.000249
    p000020  -0.006274
    p000021  +0.016392
    p000022  +0.016451
    p000023  +0.016418
    p000024  -0.000269
    p000025  -0.000200
    p000026  -0.000405
    p000027  -0.000412
    p000028  -0.000279
    p000029  -0.000423
    p000030  -0.000112
    p000031  -0.000108
    p000032  -0.000103
    p000033  +0.021329
    p000034  +0.013362
    p000035  +0.013363
    p000036  +0.020978
    p000037  +0.021541
    p000038  +0.021410
    p000039  -0.001226
    p000040  +0.003263
    p000041  -0.001234
    p000042  +0.003257
    p000043  +0.010072
    p000044  +0.010084
    p000045  -0.000249
    p000046  -0.006260
    p000047  -0.000266
    p000048  -0.006271
    p000049  +0.016378
    p000050  +0.016392
    p000051  -0.000211
    p000052  -0.000417
    p000053  -0.000290
    p000054  -0.000436
    p000055  -0.000122
    p000056  -0.000117
    p000057  -0.017262
    p000058  -0.011250
    p000059  -0.011150
    p000060  -0.015587
    p000061  -0.016131
    p000062  -0.017583
    p000063  -0.001239
    p000064  +0.003259
    p000065  -0.001245
    p000066  +0.003252
    p000067  +0.010070
    p000068  +0.010058
    p000069  -0.000268
    p000070  -0.006273
    p000071  -0.000297
    p000072  -0.006299
    p000073  +0.016348
    p000074  +0.016392
    p000075  -0.000223
    p000076  -0.000431
    p000077  -0.000303
    p000078  -0.000451
    p000079  -0.000134
    p000080  -0.000128
    p000081  +0.021264
    p000082  +0.013433
    p000083  +0.013432
    p000084  +0.020908
    p000085  +0.021512
    p000086  +0.021383
    p000087  -0.001247
    p000088  +0.003246
    p000089  -0.001254
    p000090  +0.003242
    p000091  +0.010041
    p000092  +0.010057
    p000093  -0.000288
    p000094  -0.006304
    p000095  -0.000353
    p000096  -0.006372
    p000097  +0.016332
    p000098  +0.016345
    p000099  -0.000236
    p000100  -0.000446
    p000101  -0.000315
    p000102  -0.000468
    p000103  -0.000147
    p000104  -0.000140
    p000105  -0.017246
    p000106  -0.011219
    p000107  -0.011096
    p000108  -0.015548
    p000109  -0.016157
    p000110  -0.017611
    p000111  -0.001260
    p000112  +0.003229
    p000113  -0.001266
    p000114  +0.003221
    p000115  +0.010055
    p000116  +0.010045
    p000117  -0.000293
    p000118  -0.006295
    p000119  -0.000363
    p000120  -0.006371
    p000121  +0.016280
    p000122  +0.016350
    p000123  -0.000250
    p000124  -0.000464
    p000125  -0.000331
    p000126  -0.000487
    p000127  -0.000162
    p000128  -0.000154
    p000129  +0.021182
    p000130  +0.013432
    p000131  +0.013430
    p000132  +0.020825
    p000133  +0.021549
    p000134  +0.021423
    p000135  -0.001276
    p000136  +0.003211
    p000137  -0.001281
    p000138  +0.003217
    p000139  +0.010031
    p000140  +0.010034
    p000141  -0.000365
    p000142  -0.006387
    p000143  -0.000368
    p000144  -0.006389
    p000145  +0.016258
    p000146  +0.016283
    p000147  -0.000267
    p000148  -0.000485
    p000149  -0.000350
    p000150  -0.000508
    p000151  -0.000178
    p000152  -0.000170
    p000153  -0.017195
    p000154  -0.011244
    p000155  -0.011104
    p000156  -0.015482
    p000157  -0.016140
    p000158  -0.017587
    p000159  -0.001289
    p000160  +0.003205
    p000161  -0.001299
    p000162  +0.003194
    p000163  +0.010026
    p000164  +0.010030
    p000165  -0.000410
    p000166  -0.006438
    p000167  -0.000428
    p000168  -0.006462
    p000169  +0.016245
    p000170  +0.016243
    p000171  -0.000288
    p000172  -0.000508
    p000173  -0.000369
    p000174  -0.000533
    p000175  -0.000198
    p000176  -0.000188
    p000177  +0.021219
    p000178  +0.013364
    p000179  +0.013362
    p000180  +0.020858
    p000181  +0.021577
    p000182  +0.021455
    p000183  -0.001307
    p000184  +0.003196
    p000185  -0.001320
    p000186  +0.003179
    p000187  +0.010005
    p000188  +0.010010
    p000189  -0.000421
    p000190  -0.006446
    p000191  -0.000487
    p000192  -0.006519
    p000193  +0.016149
    p000194  +0.016183
    p000195  -0.000308
    p000196  -0.000534
    p000197  -0.000394
    p000198  -0.000561
    p000199  -0.000219
    p000200  -0.000208
    p000201  -0.017149
    p000202  -0.011248
    p000203  -0.011090
    p000204  -0.015414
    p000205  -0.016195
    p000206  -0.017639
    p000207  -0.001329
    p000208  +0.003176
    p000209  -0.001338
    p000210  +0.003160
    p000211  +0.009975
    p000212  +0.010008
    p000213  -0.000472
    p000214  -0.006516
    p000215  -0.000521
    p000216  -0.006556
    p000217  +0.016139
    p000218  +0.016151
    p000219  -0.000334
    p000220  -0.000564
    p000221  -0.000420
    p000222  -0.000593
    p000223  -0.000244
    p000224  -0.000231
    p000225  +0.021198
    p000226  +0.013435
    p000227  +0.013432
    p000228  +0.020825
