# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 10000

[ECHELLE 01]
  t             = 0.171968
  n_valid       = 10000/10000
  mean(angle°)  = 78.4819
  std(angle°)   = 43.5742
  valeurs (degrés) :
    p000000   90.0000°
    p000001   75.1225°
    p000002   59.4544°
    p000003   60.5509°
    p000004   53.8164°
    p000005   90.0000°
    p000006   74.4861°
    p000007  129.1127°
    p000008   90.0000°
    p000009   82.6270°
    p000010   76.7684°
    p000011   31.1547°
    p000012   72.6154°
    p000013   90.0000°
    p000014   90.0000°
    p000015  109.5185°
    p000016   90.0000°
    p000017  101.5930°
    p000018   32.1749°
    p000019  140.1243°
    p000020  146.7362°
    p000021   90.0000°
    p000022   90.0000°
    p000023   86.6791°
    p000024   86.7264°
    p000025   47.4698°
    p000026   90.0000°
    p000027   90.0000°
    p000028   17.4655°
    p000029   90.0000°
    p000030   90.0000°
    p000031  164.9723°
    p000032   29.4102°
    p000033   16.9487°
    p000034   90.0000°
    p000035   90.0000°
    p000036   90.0000°
    p000037   70.0792°
    p000038   64.9793°
    p000039   10.3730°
    p000040   24.6837°
    p000041   15.3876°
    p000042   37.2118°
    p000043   90.0000°
    p000044   90.0000°
    p000045  152.5138°
    p000046   32.2973°
    p000047    8.6106°
    p000048   90.0000°
    p000049   90.0000°
    p000050   44.4245°
    p000051  161.2735°
    p000052  171.7317°
    p000053   16.6363°
    p000054  146.2995°
    p000055   29.2756°
    p000056   90.0000°
    p000057   90.0000°
    p000058   90.0000°
    p000059   22.9201°
    p000060   12.0863°
    p000061   18.7385°
    p000062   23.1219°
    p000063  160.4874°
    p000064  161.0190°
    p000065    2.2359°
    p000066   12.4803°
    p000067   81.4424°
    p000068   76.3170°
    p000069   90.0000°
    p000070   90.0000°
    p000071   90.0000°
    p000072   90.0000°
    p000073  172.0091°
    p000074  108.3416°
    p000075   27.2544°
    p000076  165.9958°
    p000077   90.0000°
    p000078   90.0000°
    p000079   90.0000°
    p000080   90.0000°
    p000081  154.6134°
    p000082   15.0242°
