# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 15
n_points  = 10000

[ECHELLE 01]
  t           = 0.171968
  n_valid     = 10000/10000
  mean(kappa) = +0.104418
  std(kappa)  = 1.563359
  convexe     : 5265  (52.6%)
  concave     : 4735  (47.4%)
  plan (~0)   : 0  (0.0%)
  valeurs :
    p000000  -1.020342
    p000001  -0.461276
    p000002  -1.006808
    p000003  -0.910022
    p000004  -0.773764
    p000005  -0.960547
    p000006  +0.397844
    p000007  -1.266034
    p000008  -1.278321
    p000009  +0.121004
    p000010  -0.370579
    p000011  -0.014363
    p000012  -1.308324
    p000013  -0.714712
    p000014  +1.320809
    p000015  -1.427104
    p000016  -1.224794
    p000017  -0.421157
    p000018  +1.678351
    p000019  +1.529087
    p000020  -1.622733
    p000021  -1.452694
    p000022  +1.373672
    p000023  +0.202232
    p000024  +0.173190
    p000025  -1.361741
    p000026  +1.893260
    p000027  +1.789212
    p000028  -1.816142
    p000029  -1.389500
    p000030  +1.157592
    p000031  +1.909640
    p000032  +1.752288
    p000033  -1.887242
    p000034  +1.444355
    p000035  +1.775429
    p000036  -1.509975
    p000037  -0.660356
    p000038  +0.782781
    p000039  +1.955878
    p000040  +1.889369
    p000041  -1.942847
    p000042  -1.540598
    p000043  +1.687797
    p000044  +1.930675
    p000045  +1.713665
    p000046  -1.685922
    p000047  +1.938795
    p000048  +1.878090
    p000049  -1.899774
    p000050  -1.520648
    p000051  +1.853186
    p000052  +1.968106
    p000053  +1.900459
    p000054  -1.639645
    p000055  -1.608553
    p000056  +1.824279
    p000057  +1.922150
    p000058  +1.150461
    p000059  +1.826806
    p000060  +1.959454
    p000061  +1.912441
    p000062  -1.817844
    p000063  -1.872279
    p000064  +1.829837
    p000065  +1.973921
    p000066  +1.881370
    p000067  +0.318276
    p000068  +0.501400
    p000069  +1.876057
    p000070  -0.011610
    p000071  -1.403717
    p000072  +1.961530
    p000073  +1.972464
    p000074  +1.921868
    p000075  -1.369100
    p000076  -1.916396
    p000077  +1.867250
    p000078  +1.980780
    p000079  +1.739669
    p000080  +1.479506
