# TAU — offset algébrique (τ)
# Mellado et al. (2012) Eq. 4 : τ = s_û(p)
# τ > 0 : p à l'extérieur   τ = 0 : sur la surface   τ < 0 : à l'intérieur
#
n_scales  = 15
n_points  = 10000

[ECHELLE 01]
  t         = 0.171968
  n_valid   = 10000/10000
  mean(tau) = -0.000189
  std(tau)  = 0.003824
  valeurs   :
    p000000  +0.001543
    p000001  +0.000363
    p000002  +0.000930
    p000003  +0.001313
    p000004  +0.000827
    p000005  +0.003213
    p000006  -0.000427
    p000007  +0.001384
    p000008  +0.006410
    p000009  -0.000182
    p000010  +0.000335
    p000011  -0.000051
    p000012  +0.001617
    p000013  +0.004387
    p000014  -0.002641
    p000015  +0.001410
    p000016  +0.002227
    p000017  +0.000478
    p000018  -0.001949
    p000019  -0.001313
    p000020  +0.002136
    p000021  +0.007882
    p000022  -0.005943
    p000023  -0.000102
    p000024  -0.000102
    p000025  +0.001571
    p000026  -0.004722
    p000027  -0.003646
    p000028  +0.002041
    p000029  +0.002223
    p000030  -0.001813
    p000031  -0.001306
    p000032  -0.001488
    p000033  +0.002554
    p000034  -0.004134
    p000035  -0.011485
    p000036  +0.004811
    p000037  +0.000628
    p000038  -0.000890
    p000039  -0.001406
    p000040  -0.001732
    p000041  +0.002356
    p000042  +0.001872
    p000043  -0.007025
    p000044  -0.004675
    p000045  -0.001413
    p000046  +0.002104
    p000047  -0.001719
    p000048  -0.006243
    p000049  +0.004650
    p000050  +0.001169
    p000051  -0.001418
    p000052  -0.001386
    p000053  -0.001769
    p000054  +0.002076
    p000055  +0.001616
    p000056  -0.009536
    p000057  -0.012166
    p000058  -0.003821
    p000059  -0.002270
    p000060  -0.001536
    p000061  -0.001569
    p000062  +0.001791
    p000063  +0.001486
    p000064  -0.001701
    p000065  -0.002103
    p000066  -0.001737
    p000067  -0.000408
    p000068  -0.000500
    p000069  -0.004857
    p000070  -0.000027
    p000071  +0.005262
    p000072  -0.003095
    p000073  -0.001494
    p000074  -0.001721
    p000075  +0.001577
    p000076  +0.001952
    p000077  -0.003002
    p000078  -0.008314
    p000079  -0.006869
    p000080  -0.003318
    p000081  -0.001643
    p000082  -0.001430
    p000083  +0.000763
    p000084  +0.001463
