# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 482

[ECHELLE 01]
  t             = 0.664769
  n_valid       = 482/482
  mean(angle°)  = 0.2233
  std(angle°)   = 0.4228
  valeurs (degrés) :
    p000000    0.0000°
    p000001    1.2925°
    p000002    1.2924°
    p000003    1.2924°
    p000004    1.2925°
    p000005    1.2924°
    p000006    1.2924°
    p000007    1.2925°
    p000008    1.2924°
    p000009    1.2925°
    p000010    1.2924°
    p000011    1.2924°
    p000012    1.2924°
    p000013    1.2924°
    p000014    1.2924°
    p000015    1.2925°
    p000016    1.2924°
    p000017    1.2925°
    p000018    1.2924°
    p000019    1.2924°
    p000020    1.2924°
    p000021    1.2924°
    p000022    1.2924°
    p000023    1.2925°
    p000024    1.2924°
    p000025    1.2925°
    p000026    1.2924°
    p000027    1.2925°
    p000028    1.2924°
    p000029    1.2924°
    p000030    1.2924°
    p000031    1.2925°
    p000032    1.2924°
    p000033    0.1809°
    p000034    0.1808°
    p000035    0.1808°
    p000036    0.1810°
    p000037    0.1808°
    p000038    0.1809°
    p000039    0.1810°
    p000040    0.1809°
    p000041    0.1809°
    p000042    0.1808°
    p000043    0.1808°
    p000044    0.1809°
    p000045    0.1809°
    p000046    0.1809°
    p000047    0.1809°
    p000048    0.1809°
    p000049    0.1809°
    p000050    0.1808°
    p000051    0.1809°
    p000052    0.1808°
    p000053    0.1809°
    p000054    0.1809°
    p000055    0.1809°
    p000056    0.1810°
    p000057    0.1808°
    p000058    0.1808°
    p000059    0.1809°
    p000060    0.1808°
    p000061    0.1809°
    p000062    0.1809°
    p000063    0.1809°
    p000064    0.1809°
    p000065    0.1248°
    p000066    0.1248°
    p000067    0.1248°
    p000068    0.1248°
    p000069    0.1247°
    p000070    0.1247°
    p000071    0.1248°
    p000072    0.1248°
    p000073    0.1248°
    p000074    0.1247°
    p000075    0.1247°
    p000076    0.1248°
    p000077    0.1248°
    p000078    0.1248°
    p000079    0.1248°
    p000080    0.1248°
    p000081    0.1248°
    p000082    0.1247°
    p000083    0.1248°
    p000084    0.1247°
    p000085    0.1247°
    p000086    0.1248°
    p000087    0.1248°
    p000088    0.1248°
    p000089    0.1248°
    p000090    0.1248°
    p000091    0.1248°
    p000092    0.1248°
    p000093    0.1247°
    p000094    0.1248°
    p000095    0.1247°
    p000096    0.1247°
    p000097    0.0494°
    p000098    0.0493°
    p000099    0.0494°
    p000100    0.0494°
    p000101    0.0494°
    p000102    0.0493°
    p000103    0.0494°
    p000104    0.0494°
    p000105    0.0494°
    p000106    0.0494°
    p000107    0.0493°
    p000108    0.0492°
    p000109    0.0494°
    p000110    0.0493°
    p000111    0.0494°
    p000112    0.0493°
    p000113    0.0494°
    p000114    0.0494°
    p000115    0.0493°
    p000116    0.0494°
    p000117    0.0493°
    p000118    0.0493°
    p000119    0.0493°
    p000120    0.0493°
    p000121    0.0494°
    p000122    0.0494°
    p000123    0.0493°
    p000124    0.0494°
    p000125    0.0494°
    p000126    0.0494°
    p000127    0.0494°
    p000128    0.0494°
    p000129    0.0206°
    p000130    0.0204°
    p000131    0.0204°
    p000132    0.0206°
    p000133    0.0205°
    p000134    0.0205°
    p000135    0.0205°
    p000136    0.0204°
    p000137    0.0206°
    p000138    0.0204°
    p000139    0.0206°
    p000140    0.0206°
    p000141    0.0205°
    p000142    0.0204°
    p000143    0.0205°
    p000144    0.0205°
    p000145    0.0205°
    p000146    0.0205°
    p000147    0.0205°
    p000148    0.0204°
    p000149    0.0205°
    p000150    0.0205°
    p000151    0.0206°
    p000152    0.0205°
    p000153    0.0205°
    p000154    0.0205°
    p000155    0.0205°
    p000156    0.0204°
    p000157    0.0205°
    p000158    0.0205°
    p000159    0.0205°
    p000160    0.0205°
    p000161    0.0099°
    p000162    0.0100°
    p000163    0.0097°
    p000164    0.0098°
    p000165    0.0098°
    p000166    0.0098°
    p000167    0.0098°
    p000168    0.0098°
    p000169    0.0098°
    p000170    0.0100°
    p000171    0.0097°
    p000172    0.0100°
    p000173    0.0099°
    p000174    0.0099°
    p000175    0.0098°
    p000176    0.0099°
    p000177    0.0098°
    p000178    0.0099°
    p000179    0.0099°
    p000180    0.0098°
    p000181    0.0099°
    p000182    0.0099°
    p000183    0.0098°
    p000184    0.0099°
    p000185    0.0099°
    p000186    0.0098°
    p000187    0.0099°
    p000188    0.0099°
    p000189    0.0098°
    p000190    0.0098°
    p000191    0.0099°
    p000192    0.0097°
    p000193    0.0041°
    p000194    0.0042°
    p000195    0.0043°
    p000196    0.0041°
    p000197    0.0043°
    p000198    0.0042°
    p000199    0.0042°
    p000200    0.0041°
    p000201    0.0041°
    p000202    0.0042°
    p000203    0.0041°
    p000204    0.0042°
    p000205    0.0041°
    p000206    0.0041°
    p000207    0.0042°
    p000208    0.0042°
    p000209    0.0041°
    p000210    0.0042°
    p000211    0.0043°
    p000212    0.0041°
    p000213    0.0042°
    p000214    0.0042°
    p000215    0.0042°
    p000216    0.0042°
    p000217    0.0042°
    p000218    0.0042°
    p000219    0.0041°
    p000220    0.0042°
    p000221    0.0042°
    p000222    0.0043°
    p000223    0.0041°
    p000224    0.0042°
    p000225    0.0001°
    p000226    0.0000°
    p000227    0.0001°
    p000228    0.0000°
    p000229    0.0000°
    p000230    0.0000°
    p000231    0.0001°
    p000232    0.0000°
    p000233    0.0000°
    p000234    0.0000°
    p000235    0.0000°
    p000236    0.0000°
    p000237    0.0000°
    p000238    0.0001°
    p000239    0.0001°
    p000240    0.0000°
    p000241    0.0001°
