# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 15
n_points  = 482

[ECHELLE 01]
  t           = 0.664769
  n_valid     = 482/482
  mean(kappa) = +1.008010
  std(kappa)  = 0.020730
  convexe     : 482  (100.0%)
  concave     : 0  (0.0%)
  plan (~0)   : 0  (0.0%)
  valeurs :
    p000000  +1.068138
    p000001  +1.055020
    p000002  +1.055020
    p000003  +1.055020
    p000004  +1.055020
    p000005  +1.055020
    p000006  +1.055020
    p000007  +1.055020
    p000008  +1.055020
    p000009  +1.055020
    p000010  +1.055020
    p000011  +1.055020
    p000012  +1.055020
    p000013  +1.055020
    p000014  +1.055020
    p000015  +1.055020
    p000016  +1.055020
    p000017  +1.055020
    p000018  +1.055020
    p000019  +1.055020
    p000020  +1.055020
    p000021  +1.055020
    p000022  +1.055020
    p000023  +1.055020
    p000024  +1.055020
    p000025  +1.055020
    p000026  +1.055020
    p000027  +1.055020
    p000028  +1.055020
    p000029  +1.055020
    p000030  +1.055020
    p000031  +1.055020
    p000032  +1.055020
    p000033  +1.021949
    p000034  +1.021949
    p000035  +1.021949
    p000036  +1.021949
    p000037  +1.021949
    p000038  +1.021949
    p000039  +1.021949
    p000040  +1.021949
    p000041  +1.021949
    p000042  +1.021949
    p000043  +1.021949
    p000044  +1.021949
    p000045  +1.021949
    p000046  +1.021949
    p000047  +1.021949
    p000048  +1.021949
    p000049  +1.021949
    p000050  +1.021949
    p000051  +1.021949
    p000052  +1.021949
    p000053  +1.021949
    p000054  +1.021949
    p000055  +1.021949
    p000056  +1.021949
    p000057  +1.021949
    p000058  +1.021949
    p000059  +1.021949
    p000060  +1.021949
    p000061  +1.021949
    p000062  +1.021949
    p000063  +1.021949
    p000064  +1.021949
    p000065  +0.997193
    p000066  +0.997194
    p000067  +0.997194
    p000068  +0.997194
    p000069  +0.997194
    p000070  +0.997193
    p000071  +0.997193
    p000072  +0.997194
    p000073  +0.997194
    p000074  +0.997194
    p000075  +0.997194
    p000076  +0.997194
    p000077  +0.997194
    p000078  +0.997194
    p000079  +0.997194
    p000080  +0.997194
    p000081  +0.997194
    p000082  +0.997194
    p000083  +0.997194
    p000084  +0.997194
    p000085  +0.997194
    p000086  +0.997194
    p000087  +0.997194
    p000088  +0.997194
    p000089  +0.997194
    p000090  +0.997194
    p000091  +0.997194
    p000092  +0.997194
    p000093  +0.997194
    p000094  +0.997193
    p000095  +0.997193
    p000096  +0.997193
    p000097  +0.995606
    p000098  +0.995606
    p000099  +0.995606
    p000100  +0.995606
    p000101  +0.995606
    p000102  +0.995606
    p000103  +0.995606
    p000104  +0.995606
    p000105  +0.995606
    p000106  +0.995606
    p000107  +0.995606
    p000108  +0.995606
    p000109  +0.995605
    p000110  +0.995605
    p000111  +0.995605
    p000112  +0.995605
    p000113  +0.995605
    p000114  +0.995605
    p000115  +0.995605
    p000116  +0.995605
    p000117  +0.995605
    p000118  +0.995605
    p000119  +0.995605
    p000120  +0.995605
    p000121  +0.995605
    p000122  +0.995605
    p000123  +0.995606
    p000124  +0.995605
    p000125  +0.995605
    p000126  +0.995605
    p000127  +0.995605
    p000128  +0.995605
    p000129  +0.996508
    p000130  +0.996507
    p000131  +0.996507
    p000132  +0.996507
    p000133  +0.996507
    p000134  +0.996507
    p000135  +0.996507
    p000136  +0.996507
    p000137  +0.996507
    p000138  +0.996507
    p000139  +0.996507
    p000140  +0.996506
    p000141  +0.996506
    p000142  +0.996506
    p000143  +0.996506
    p000144  +0.996507
    p000145  +0.996507
    p000146  +0.996507
    p000147  +0.996506
    p000148  +0.996506
    p000149  +0.996506
    p000150  +0.996506
    p000151  +0.996506
    p000152  +0.996507
    p000153  +0.996507
    p000154  +0.996507
    p000155  +0.996507
    p000156  +0.996507
    p000157  +0.996506
    p000158  +0.996506
    p000159  +0.996507
    p000160  +0.996507
    p000161  +0.996743
    p000162  +0.996743
    p000163  +0.996742
    p000164  +0.996742
    p000165  +0.996742
    p000166  +0.996742
    p000167  +0.996742
    p000168  +0.996742
    p000169  +0.996742
    p000170  +0.996743
    p000171  +0.996742
    p000172  +0.996742
    p000173  +0.996742
    p000174  +0.996742
    p000175  +0.996743
    p000176  +0.996743
    p000177  +0.996743
    p000178  +0.996743
    p000179  +0.996742
    p000180  +0.996742
    p000181  +0.996742
    p000182  +0.996742
    p000183  +0.996742
    p000184  +0.996743
    p000185  +0.996743
    p000186  +0.996743
    p000187  +0.996743
    p000188  +0.996743
    p000189  +0.996742
    p000190  +0.996742
    p000191  +0.996742
    p000192  +0.996743
    p000193  +0.996782
    p000194  +0.996781
    p000195  +0.996780
    p000196  +0.996781
    p000197  +0.996781
    p000198  +0.996781
    p000199  +0.996780
    p000200  +0.996780
    p000201  +0.996781
    p000202  +0.996781
    p000203  +0.996781
    p000204  +0.996781
    p000205  +0.996781
    p000206  +0.996782
    p000207  +0.996782
    p000208  +0.996782
    p000209  +0.996782
    p000210  +0.996782
    p000211  +0.996781
    p000212  +0.996781
    p000213  +0.996781
    p000214  +0.996782
    p000215  +0.996781
    p000216  +0.996781
    p000217  +0.996781
    p000218  +0.996781
    p000219  +0.996782
    p000220  +0.996782
    p000221  +0.996781
    p000222  +0.996780
    p000223  +0.996780
    p000224  +0.996782
    p000225  +0.996790
    p000226  +0.996789
    p000227  +0.996788
    p000228  +0.996789
    p000229  +0.996790
    p000230  +0.996790
    p000231  +0.996789
    p000232  +0.996789
    p000233  +0.996789
    p000234  +0.996789
    p000235  +0.996789
    p000236  +0.996789
    p000237  +0.996789
    p000238  +0.996790
    p000239  +0.996791
