# NU — variation géométrique ν(p,t)
# Mellado et al. (2012) Section 4.2, Eq. 5 :
#   ν(p,t) = (dτ/dt)² + (t·dη/dt)² + (t²·dκ/dt)²
# ν faible : échelle pertinente (descripteur stable)
# ν élevé  : échelle instable / structure fine en train de changer
#
n_scales  = 15
n_points  = 482

[ECHELLE 01]
  t           = 0.664769
  n_valid     = 482/482
  mean(nu)    = 0.000560
  std(nu)     = 0.001105
  valeurs :
    p000000  0.008514
    p000001  0.002973
    p000002  0.002973
    p000003  0.002973
    p000004  0.002973
    p000005  0.002973
    p000006  0.002973
    p000007  0.002973
    p000008  0.002973
    p000009  0.002973
    p000010  0.002973
    p000011  0.002973
    p000012  0.002973
    p000013  0.002973
    p000014  0.002973
    p000015  0.002973
    p000016  0.002973
    p000017  0.002973
    p000018  0.002973
    p000019  0.002973
    p000020  0.002973
    p000021  0.002973
    p000022  0.002973
    p000023  0.002973
    p000024  0.002973
    p000025  0.002973
    p000026  0.002973
    p000027  0.002973
    p000028  0.002973
    p000029  0.002973
    p000030  0.002973
    p000031  0.002973
    p000032  0.002973
    p000033  0.000580
    p000034  0.000580
    p000035  0.000580
    p000036  0.000580
    p000037  0.000580
    p000038  0.000580
    p000039  0.000580
    p000040  0.000580
    p000041  0.000580
    p000042  0.000580
    p000043  0.000580
    p000044  0.000580
    p000045  0.000580
    p000046  0.000580
    p000047  0.000580
    p000048  0.000580
    p000049  0.000580
    p000050  0.000580
    p000051  0.000580
    p000052  0.000580
    p000053  0.000580
    p000054  0.000580
    p000055  0.000580
    p000056  0.000580
    p000057  0.000580
    p000058  0.000580
    p000059  0.000580
    p000060  0.000580
    p000061  0.000580
    p000062  0.000580
    p000063  0.000580
    p000064  0.000580
    p000065  0.000333
    p000066  0.000333
    p000067  0.000333
    p000068  0.000333
    p000069  0.000333
    p000070  0.000333
    p000071  0.000333
    p000072  0.000333
    p000073  0.000333
    p000074  0.000333
    p000075  0.000333
    p000076  0.000333
    p000077  0.000332
    p000078  0.000333
    p000079  0.000333
    p000080  0.000333
    p000081  0.000333
    p000082  0.000333
    p000083  0.000333
    p000084  0.000333
    p000085  0.000333
    p000086  0.000333
    p000087  0.000333
    p000088  0.000333
    p000089  0.000333
    p000090  0.000333
    p000091  0.000333
    p000092  0.000333
    p000093  0.000333
    p000094  0.000333
    p000095  0.000333
    p000096  0.000333
    p000097  0.000058
    p000098  0.000058
    p000099  0.000058
    p000100  0.000058
    p000101  0.000058
    p000102  0.000058
    p000103  0.000058
    p000104  0.000058
    p000105  0.000058
    p000106  0.000058
    p000107  0.000058
    p000108  0.000058
    p000109  0.000058
    p000110  0.000058
    p000111  0.000058
    p000112  0.000058
    p000113  0.000058
    p000114  0.000058
    p000115  0.000058
    p000116  0.000058
    p000117  0.000058
    p000118  0.000058
    p000119  0.000058
    p000120  0.000058
    p000121  0.000058
    p000122  0.000058
    p000123  0.000058
    p000124  0.000058
    p000125  0.000058
    p000126  0.000058
    p000127  0.000058
    p000128  0.000058
    p000129  0.000005
    p000130  0.000005
    p000131  0.000005
    p000132  0.000005
    p000133  0.000005
    p000134  0.000005
    p000135  0.000005
    p000136  0.000005
    p000137  0.000005
    p000138  0.000005
    p000139  0.000005
    p000140  0.000005
    p000141  0.000005
    p000142  0.000005
    p000143  0.000005
    p000144  0.000005
    p000145  0.000005
    p000146  0.000005
    p000147  0.000005
    p000148  0.000005
    p000149  0.000005
    p000150  0.000005
    p000151  0.000005
    p000152  0.000005
    p000153  0.000005
    p000154  0.000005
    p000155  0.000005
    p000156  0.000005
    p000157  0.000005
    p000158  0.000005
    p000159  0.000005
    p000160  0.000005
    p000161  0.000002
    p000162  0.000002
    p000163  0.000002
    p000164  0.000002
    p000165  0.000002
    p000166  0.000002
    p000167  0.000002
    p000168  0.000002
    p000169  0.000002
    p000170  0.000002
    p000171  0.000002
    p000172  0.000002
    p000173  0.000002
    p000174  0.000002
    p000175  0.000002
    p000176  0.000002
    p000177  0.000002
    p000178  0.000002
    p000179  0.000002
    p000180  0.000002
    p000181  0.000002
    p000182  0.000002
    p000183  0.000002
    p000184  0.000002
    p000185  0.000002
    p000186  0.000002
    p000187  0.000002
    p000188  0.000002
    p000189  0.000002
    p000190  0.000002
    p000191  0.000002
    p000192  0.000002
    p000193  0.000001
    p000194  0.000001
    p000195  0.000001
    p000196  0.000001
    p000197  0.000001
    p000198  0.000001
    p000199  0.000001
    p000200  0.000001
    p000201  0.000001
    p000202  0.000001
    p000203  0.000001
    p000204  0.000001
    p000205  0.000001
    p000206  0.000001
    p000207  0.000001
    p000208  0.000001
    p000209  0.000001
    p000210  0.000001
    p000211  0.000001
    p000212  0.000001
    p000213  0.000001
    p000214  0.000001
    p000215  0.000001
    p000216  0.000001
    p000217  0.000001
    p000218  0.000001
    p000219  0.000001
    p000220  0.000001
    p000221  0.000001
    p000222  0.000001
    p000223  0.000001
    p000224  0.000001
    p000225  0.000000
    p000226  0.000000
    p000227  0.000000
    p000228  0.000000
    p000229  0.000000
    p000230  0.000000
    p000231  0.000000
    p000232  0.000000
    p000233  0.000000
    p000234  0.000000
    p000235  0.000000
    p000236  0.000000
    p000237  0.000000
    p000238  0.000000
    p000239  0.000000
    p000240  0.000000
    p000241  0.000000
    p000242  0.000000
    p000243  0.000000
    p000244  0.000000
    p000245  0.000000
    p000246  0.000000
    p000247  0.000000
    p000248  0.000000
    p000249  0.000000
    p000250  0.000000
    p000251  0.000000
    p000252  0.000000
    p000253  0.000000
    p000254  0.000000
    p000255  0.000000
    p000256  0.000000
    p000257  0.000001
    p000258  0.000001
    p000259  0.000001
    p000260  0.000001
    p000261  0.000001
    p000262  0.000001
    p000263  0.000001
