# PHI — fitness ϕ (qualité d'alignement du fit)
# Mellado et al. (2012) Section 4.1 : ϕ = Σwi(t)∇su(qi)·ni / Σwi(t)
# ϕ = 1 : fit parfait   ϕ ≈ 0 : fit incohérent (bruit, bord, normales incohérentes)
#
n_scales  = 15
n_points  = 482

[ECHELLE 01]
  t           = 0.664769
  n_valid     = 482/482
  mean(phi)   = 0.999870
  std(phi)    = 0.000154
  valeurs :
    p000000  0.999619
    p000001  0.999599
    p000002  0.999599
    p000003  0.999599
    p000004  0.999599
    p000005  0.999599
    p000006  0.999599
    p000007  0.999599
    p000008  0.999599
    p000009  0.999599
    p000010  0.999599
    p000011  0.999599
    p000012  0.999599
    p000013  0.999599
    p000014  0.999599
    p000015  0.999599
    p000016  0.999599
    p000017  0.999599
    p000018  0.999599
    p000019  0.999599
    p000020  0.999599
    p000021  0.999599
    p000022  0.999599
    p000023  0.999599
    p000024  0.999599
    p000025  0.999599
    p000026  0.999599
    p000027  0.999599
    p000028  0.999599
    p000029  0.999599
    p000030  0.999599
    p000031  0.999599
    p000032  0.999599
    p000033  0.999662
    p000034  0.999662
    p000035  0.999662
    p000036  0.999662
    p000037  0.999662
    p000038  0.999662
    p000039  0.999662
    p000040  0.999662
    p000041  0.999662
    p000042  0.999662
    p000043  0.999662
    p000044  0.999662
    p000045  0.999662
    p000046  0.999662
    p000047  0.999662
    p000048  0.999662
    p000049  0.999662
    p000050  0.999662
    p000051  0.999662
    p000052  0.999662
    p000053  0.999662
    p000054  0.999662
    p000055  0.999662
    p000056  0.999662
    p000057  0.999662
    p000058  0.999662
    p000059  0.999662
    p000060  0.999662
    p000061  0.999662
    p000062  0.999662
    p000063  0.999662
    p000064  0.999662
    p000065  0.999847
    p000066  0.999847
    p000067  0.999847
    p000068  0.999847
    p000069  0.999847
    p000070  0.999847
    p000071  0.999847
    p000072  0.999847
    p000073  0.999847
    p000074  0.999847
    p000075  0.999847
    p000076  0.999847
    p000077  0.999847
    p000078  0.999847
    p000079  0.999847
    p000080  0.999847
    p000081  0.999847
    p000082  0.999847
    p000083  0.999847
    p000084  0.999847
    p000085  0.999847
    p000086  0.999847
    p000087  0.999847
    p000088  0.999847
    p000089  0.999847
    p000090  0.999847
    p000091  0.999847
    p000092  0.999847
    p000093  0.999847
    p000094  0.999847
    p000095  0.999847
    p000096  0.999847
    p000097  0.999961
    p000098  0.999961
    p000099  0.999961
    p000100  0.999961
    p000101  0.999961
    p000102  0.999961
    p000103  0.999961
    p000104  0.999961
    p000105  0.999961
    p000106  0.999961
    p000107  0.999961
    p000108  0.999961
    p000109  0.999961
    p000110  0.999961
    p000111  0.999961
    p000112  0.999961
    p000113  0.999961
    p000114  0.999961
    p000115  0.999961
    p000116  0.999961
    p000117  0.999961
    p000118  0.999961
    p000119  0.999961
    p000120  0.999961
    p000121  0.999961
    p000122  0.999961
    p000123  0.999961
    p000124  0.999961
    p000125  0.999961
    p000126  0.999961
    p000127  0.999961
    p000128  0.999961
    p000129  0.999986
    p000130  0.999986
    p000131  0.999986
    p000132  0.999986
    p000133  0.999986
    p000134  0.999986
    p000135  0.999986
    p000136  0.999986
    p000137  0.999986
    p000138  0.999986
    p000139  0.999986
    p000140  0.999986
    p000141  0.999986
    p000142  0.999986
    p000143  0.999986
    p000144  0.999986
    p000145  0.999986
    p000146  0.999986
    p000147  0.999986
    p000148  0.999986
    p000149  0.999986
    p000150  0.999986
    p000151  0.999986
    p000152  0.999986
    p000153  0.999986
    p000154  0.999986
    p000155  0.999986
    p000156  0.999986
    p000157  0.999986
    p000158  0.999986
    p000159  0.999986
    p000160  0.999986
    p000161  0.999991
    p000162  0.999991
    p000163  0.999991
    p000164  0.999991
    p000165  0.999991
    p000166  0.999991
    p000167  0.999991
    p000168  0.999991
    p000169  0.999991
    p000170  0.999991
    p000171  0.999991
    p000172  0.999991
    p000173  0.999991
    p000174  0.999991
    p000175  0.999991
    p000176  0.999991
    p000177  0.999991
    p000178  0.999991
    p000179  0.999991
    p000180  0.999991
    p000181  0.999991
    p000182  0.999991
    p000183  0.999991
    p000184  0.999991
    p000185  0.999991
    p000186  0.999991
    p000187  0.999991
    p000188  0.999991
    p000189  0.999991
    p000190  0.999991
    p000191  0.999991
    p000192  0.999991
    p000193  0.999993
    p000194  0.999993
    p000195  0.999993
    p000196  0.999993
    p000197  0.999993
    p000198  0.999993
    p000199  0.999993
    p000200  0.999993
    p000201  0.999993
    p000202  0.999993
    p000203  0.999993
    p000204  0.999993
    p000205  0.999993
    p000206  0.999993
    p000207  0.999993
    p000208  0.999993
    p000209  0.999993
    p000210  0.999993
    p000211  0.999993
    p000212  0.999993
    p000213  0.999993
    p000214  0.999993
    p000215  0.999993
    p000216  0.999993
    p000217  0.999993
    p000218  0.999993
    p000219  0.999993
    p000220  0.999993
    p000221  0.999993
    p000222  0.999993
    p000223  0.999993
    p000224  0.999993
    p000225  0.999994
    p000226  0.999994
    p000227  0.999994
    p000228  0.999994
    p000229  0.999994
    p000230  0.999994
    p000231  0.999994
    p000232  0.999994
    p000233  0.999994
    p000234  0.999994
    p000235  0.999994
    p000236  0.999994
    p000237  0.999994
    p000238  0.999994
    p000239  0.999994
    p000240  0.999994
    p000241  0.999994
    p000242  0.999994
    p000243  0.999994
    p000244  0.999994
    p000245  0.999994
    p000246  0.999994
    p000247  0.999994
    p000248  0.999994
    p000249  0.999994
    p000250  0.999994
    p000251  0.999994
    p000252  0.999994
    p000253  0.999994
    p000254  0.999994
    p000255  0.999994
    p000256  0.999994
    p000257  0.999993
    p000258  0.999993
    p000259  0.999993
    p000260  0.999993
    p000261  0.999993
    p000262  0.999993
    p000263  0.999993
    p000264  0.999993
