# TAU — offset algébrique (τ)
# Mellado et al. (2012) Eq. 4 : τ = s_û(p)
# τ > 0 : p à l'extérieur   τ = 0 : sur la surface   τ < 0 : à l'intérieur
#
n_scales  = 15
n_points  = 482

[ECHELLE 01]
  t         = 0.664769
  n_valid   = 482/482
  mean(tau) = 0.000133
  std(tau)  = 0.000949
  valeurs   :
    p000000  -0.003078
    p000001  -0.002036
    p000002  -0.002036
    p000003  -0.002036
    p000004  -0.002036
    p000005  -0.002036
    p000006  -0.002036
    p000007  -0.002036
    p000008  -0.002036
    p000009  -0.002036
    p000010  -0.002036
    p000011  -0.002036
    p000012  -0.002036
    p000013  -0.002036
    p000014  -0.002036
    p000015  -0.002036
    p000016  -0.002036
    p000017  -0.002036
    p000018  -0.002036
    p000019  -0.002036
    p000020  -0.002036
    p000021  -0.002036
    p000022  -0.002036
    p000023  -0.002036
    p000024  -0.002036
    p000025  -0.002036
    p000026  -0.002036
    p000027  -0.002036
    p000028  -0.002036
    p000029  -0.002036
    p000030  -0.002036
    p000031  -0.002036
    p000032  -0.002036
    p000033  +0.000159
    p000034  +0.000159
    p000035  +0.000159
    p000036  +0.000159
    p000037  +0.000159
    p000038  +0.000159
    p000039  +0.000159
    p000040  +0.000159
    p000041  +0.000159
    p000042  +0.000159
    p000043  +0.000159
    p000044  +0.000159
    p000045  +0.000159
    p000046  +0.000159
    p000047  +0.000159
    p000048  +0.000159
    p000049  +0.000159
    p000050  +0.000159
    p000051  +0.000159
    p000052  +0.000159
    p000053  +0.000159
    p000054  +0.000159
    p000055  +0.000159
    p000056  +0.000159
    p000057  +0.000159
    p000058  +0.000159
    p000059  +0.000159
    p000060  +0.000159
    p000061  +0.000159
    p000062  +0.000159
    p000063  +0.000159
    p000064  +0.000159
    p000065  +0.001276
    p000066  +0.001276
    p000067  +0.001276
    p000068  +0.001276
    p000069  +0.001276
    p000070  +0.001276
    p000071  +0.001276
    p000072  +0.001276
    p000073  +0.001276
    p000074  +0.001276
    p000075  +0.001276
    p000076  +0.001277
    p000077  +0.001276
    p000078  +0.001276
    p000079  +0.001276
    p000080  +0.001276
    p000081  +0.001276
    p000082  +0.001276
    p000083  +0.001276
    p000084  +0.001276
    p000085  +0.001276
    p000086  +0.001276
    p000087  +0.001276
    p000088  +0.001276
    p000089  +0.001276
    p000090  +0.001276
    p000091  +0.001276
    p000092  +0.001276
    p000093  +0.001276
    p000094  +0.001276
    p000095  +0.001276
    p000096  +0.001276
    p000097  +0.000732
    p000098  +0.000732
    p000099  +0.000732
    p000100  +0.000732
    p000101  +0.000732
    p000102  +0.000732
    p000103  +0.000732
    p000104  +0.000732
    p000105  +0.000732
    p000106  +0.000732
    p000107  +0.000731
    p000108  +0.000732
    p000109  +0.000732
    p000110  +0.000732
    p000111  +0.000732
    p000112  +0.000732
    p000113  +0.000732
    p000114  +0.000732
    p000115  +0.000732
    p000116  +0.000732
    p000117  +0.000732
    p000118  +0.000732
    p000119  +0.000732
    p000120  +0.000732
    p000121  +0.000732
    p000122  +0.000732
    p000123  +0.000732
    p000124  +0.000732
    p000125  +0.000732
    p000126  +0.000732
    p000127  +0.000732
    p000128  +0.000732
    p000129  +0.000398
    p000130  +0.000398
    p000131  +0.000398
    p000132  +0.000398
    p000133  +0.000398
    p000134  +0.000398
    p000135  +0.000398
    p000136  +0.000398
    p000137  +0.000398
    p000138  +0.000398
    p000139  +0.000398
    p000140  +0.000397
    p000141  +0.000398
    p000142  +0.000398
    p000143  +0.000398
    p000144  +0.000397
    p000145  +0.000398
    p000146  +0.000398
    p000147  +0.000397
    p000148  +0.000398
    p000149  +0.000398
    p000150  +0.000398
    p000151  +0.000398
    p000152  +0.000397
    p000153  +0.000398
    p000154  +0.000398
    p000155  +0.000398
    p000156  +0.000398
    p000157  +0.000398
    p000158  +0.000398
    p000159  +0.000397
    p000160  +0.000398
    p000161  +0.000266
    p000162  +0.000265
    p000163  +0.000265
    p000164  +0.000265
    p000165  +0.000265
    p000166  +0.000265
    p000167  +0.000265
    p000168  +0.000265
    p000169  +0.000266
    p000170  +0.000265
    p000171  +0.000265
    p000172  +0.000266
    p000173  +0.000265
    p000174  +0.000265
    p000175  +0.000265
    p000176  +0.000265
    p000177  +0.000266
    p000178  +0.000265
    p000179  +0.000265
    p000180  +0.000265
    p000181  +0.000265
    p000182  +0.000265
    p000183  +0.000265
    p000184  +0.000266
    p000185  +0.000266
    p000186  +0.000265
    p000187  +0.000265
    p000188  +0.000265
    p000189  +0.000265
    p000190  +0.000265
    p000191  +0.000265
    p000192  +0.000265
    p000193  +0.000207
    p000194  +0.000207
    p000195  +0.000207
    p000196  +0.000207
    p000197  +0.000207
    p000198  +0.000207
    p000199  +0.000207
    p000200  +0.000207
    p000201  +0.000207
    p000202  +0.000207
    p000203  +0.000207
    p000204  +0.000208
    p000205  +0.000207
    p000206  +0.000208
    p000207  +0.000207
    p000208  +0.000207
    p000209  +0.000207
    p000210  +0.000208
    p000211  +0.000207
    p000212  +0.000207
    p000213  +0.000207
    p000214  +0.000207
    p000215  +0.000207
    p000216  +0.000207
    p000217  +0.000207
    p000218  +0.000207
    p000219  +0.000207
    p000220  +0.000207
    p000221  +0.000207
    p000222  +0.000207
    p000223  +0.000207
    p000224  +0.000207
    p000225  +0.000191
    p000226  +0.000191
    p000227  +0.000191
    p000228  +0.000191
    p000229  +0.000191
    p000230  +0.000191
    p000231  +0.000191
    p000232  +0.000191
    p000233  +0.000191
    p000234  +0.000191
    p000235  +0.000191
    p000236  +0.000191
    p000237  +0.000191
    p000238  +0.000191
    p000239  +0.000191
    p000240  +0.000190
    p000241  +0.000191
    p000242  +0.000191
    p000243  +0.000191
