# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 20480

[ECHELLE 01]
  t             = 0.011503
  n_valid       = 13631/20480
  mean(angle°)  = 38.0803
  std(angle°)   = 40.6807
  valeurs (degrés) :
    p000000    8.0993°
    p000001  NaN
    p000002  NaN
    p000003  NaN
    p000004  NaN
    p000005    8.3119°
    p000006  NaN
    p000007  NaN
    p000008   90.0000°
    p000009   90.0000°
    p000010    5.2434°
    p000011    4.9749°
    p000012  NaN
    p000013  NaN
    p000014   90.0000°
    p000015    1.9301°
    p000016    3.1179°
    p000017    8.8100°
    p000018   90.0000°
    p000019   90.0000°
    p000020   11.7891°
    p000021  NaN
    p000022  NaN
    p000023   90.0000°
    p000024   90.0000°
    p000025    9.2268°
    p000026    0.8318°
    p000027  NaN
    p000028   90.0000°
    p000029   90.0000°
    p000030    9.9814°
    p000031   10.0021°
    p000032    5.3365°
    p000033   90.0000°
    p000034   90.0000°
    p000035    1.0872°
    p000036    3.8733°
    p000037   18.6983°
    p000038   90.0000°
    p000039   90.0000°
    p000040   16.3164°
    p000041    3.1068°
    p000042  NaN
    p000043  NaN
    p000044   90.0000°
    p000045   17.2841°
    p000046    0.7834°
    p000047    8.8013°
    p000048   90.0000°
    p000049   90.0000°
    p000050    5.4989°
    p000051    7.7742°
    p000052  NaN
    p000053   90.0000°
    p000054   90.0000°
    p000055    1.0512°
    p000056    8.1676°
    p000057   13.0009°
    p000058   90.0000°
    p000059   90.0000°
    p000060   18.5625°
    p000061    7.8872°
    p000062    1.9574°
    p000063   90.0000°
    p000064   90.0000°
    p000065   18.0657°
    p000066    0.8264°
    p000067   18.2079°
    p000068   90.0000°
    p000069   90.0000°
    p000070    9.7935°
    p000071   11.9892°
    p000072    9.3795°
    p000073   90.0000°
    p000074   90.0000°
    p000075    0.4713°
    p000076    8.9087°
    p000077   21.2974°
    p000078   90.0000°
    p000079   90.0000°
    p000080   11.5293°
    p000081  NaN
    p000082    1.5720°
    p000083   90.0000°
    p000084   90.0000°
    p000085   10.1313°
    p000086  NaN
    p000087  NaN
    p000088   90.0000°
    p000089   90.0000°
    p000090    7.1698°
    p000091    9.3100°
    p000092    5.2946°
    p000093   90.0000°
    p000094   90.0000°
    p000095    6.6713°
    p000096    6.3313°
    p000097   17.3076°
    p000098   90.0000°
    p000099   90.0000°
    p000100   16.7788°
    p000101  NaN
    p000102  NaN
    p000103   90.0000°
    p000104   90.0000°
    p000105    7.4540°
    p000106  NaN
    p000107  NaN
    p000108   90.0000°
    p000109   90.0000°
    p000110   14.9472°
    p000111   15.0770°
    p000112   12.8423°
    p000113   90.0000°
    p000114   90.0000°
    p000115    2.3167°
    p000116    4.4090°
    p000117   31.0253°
    p000118   90.0000°
    p000119   90.0000°
    p000120   18.8557°
    p000121    8.1692°
    p000122    2.7021°
    p000123   90.0000°
    p000124   90.0000°
    p000125   16.3582°
    p000126    4.5353°
    p000127   15.8009°
    p000128   90.0000°
    p000129   90.0000°
    p000130    8.2462°
    p000131   11.3099°
    p000132    9.5963°
    p000133   90.0000°
    p000134   90.0000°
    p000135    6.2360°
    p000136    8.8063°
    p000137   19.3203°
    p000138   90.0000°
    p000139   90.0000°
    p000140   20.8661°
    p000141   13.5292°
    p000142   11.9388°
    p000143   90.0000°
    p000144   90.0000°
    p000145   12.5466°
    p000146    3.1587°
    p000147   28.8328°
    p000148   90.0000°
    p000149   90.0000°
    p000150   13.8536°
    p000151   16.8379°
    p000152   14.9930°
    p000153   90.0000°
    p000154   90.0000°
    p000155    2.6451°
    p000156    7.0819°
    p000157   29.1592°
    p000158   90.0000°
    p000159   90.0000°
    p000160   14.7313°
    p000161    4.8812°
    p000162    0.9208°
    p000163  NaN
    p000164   90.0000°
    p000165   14.1788°
    p000166    2.0346°
    p000167    9.0547°
    p000168   90.0000°
    p000169   90.0000°
    p000170   11.3498°
    p000171    8.3651°
    p000172  NaN
    p000173  NaN
    p000174   90.0000°
    p000175   11.1550°
    p000176    8.9450°
    p000177   11.5602°
    p000178   90.0000°
    p000179   90.0000°
    p000180   16.2949°
    p000181    9.3444°
    p000182    3.1864°
    p000183   90.0000°
    p000184   90.0000°
    p000185   14.6372°
    p000186    2.2418°
    p000187   18.4189°
    p000188   90.0000°
    p000189   90.0000°
    p000190   13.5182°
    p000191   11.8237°
    p000192    6.8794°
    p000193   90.0000°
    p000194   90.0000°
    p000195   11.1862°
    p000196    9.1164°
    p000197   19.6124°
    p000198   90.0000°
    p000199   90.0000°
    p000200   28.1372°
    p000201    5.5499°
    p000202  NaN
    p000203  NaN
    p000204   90.0000°
    p000205   28.2865°
    p000206    5.0124°
    p000207   10.9830°
    p000208   90.0000°
    p000209   90.0000°
    p000210    6.8984°
    p000211   12.8996°
    p000212  NaN
    p000213  NaN
    p000214   90.0000°
    p000215    5.0206°
    p000216   14.0642°
    p000217   17.5257°
    p000218   90.0000°
    p000219   90.0000°
    p000220   28.9452°
    p000221    9.2775°
    p000222    6.5996°
    p000223   90.0000°
    p000224   90.0000°
    p000225   27.4322°
    p000226    5.4276°
    p000227   18.2672°
    p000228   90.0000°
    p000229   90.0000°
    p000230    7.3967°
    p000231   13.0922°
    p000232   13.2597°
    p000233   90.0000°
    p000234   90.0000°
    p000235    4.6106°
    p000236   13.8424°
    p000237   20.0501°
    p000238   90.0000°
    p000239   90.0000°
    p000240   16.8704°
    p000241    8.5648°
    p000242    2.9416°
    p000243   90.0000°
    p000244   90.0000°
    p000245   13.7002°
    p000246    5.8487°
    p000247   15.4319°
    p000248   90.0000°
    p000249   90.0000°
    p000250   12.5317°
    p000251   12.2133°
    p000252    8.5325°
    p000253   90.0000°
    p000254   90.0000°
    p000255   11.3321°
    p000256    9.3412°
    p000257   14.7362°
    p000258   90.0000°
    p000259   90.0000°
    p000260   17.5425°
    p000261   13.8117°
    p000262   11.5346°
    p000263   90.0000°
    p000264   90.0000°
    p000265   11.3668°
    p000266    3.8997°
    p000267   27.9244°
    p000268   90.0000°
    p000269   90.0000°
    p000270   15.9011°
    p000271   15.7501°
    p000272   13.0450°
    p000273   90.0000°
    p000274   90.0000°
    p000275    7.9814°
    p000276    7.4429°
    p000277   27.7708°
    p000278   90.0000°
    p000279   90.0000°
    p000280   27.1148°
    p000281    8.6708°
    p000282    6.2861°
    p000283   90.0000°
    p000284   90.0000°
    p000285   24.9834°
    p000286    6.2383°
    p000287   15.9377°
    p000288   90.0000°
    p000289   90.0000°
    p000290    8.9235°
    p000291   14.2365°
    p000292   13.5569°
    p000293   90.0000°
    p000294   90.0000°
    p000295    5.4685°
    p000296   11.8789°
    p000297   17.8843°
    p000298   90.0000°
    p000299   90.0000°
    p000300   26.4032°
    p000301   13.4232°
    p000302   12.3948°
    p000303   90.0000°
    p000304   90.0000°
    p000305   20.1652°
    p000306    5.0323°
    p000307   25.7229°
    p000308   90.0000°
    p000309   90.0000°
    p000310    9.7084°
    p000311   16.0387°
    p000312   15.3736°
    p000313   90.0000°
    p000314   90.0000°
    p000315    4.9125°
    p000316   11.2040°
    p000317   22.7980°
    p000318   90.0000°
    p000319   90.0000°
    p000320   17.3318°
    p000321  NaN
    p000322  NaN
    p000323   90.0000°
    p000324   90.0000°
    p000325    8.4968°
    p000326  NaN
    p000327  NaN
    p000328   90.0000°
    p000329   90.0000°
    p000330   17.4099°
    p000331   17.6542°
    p000332    9.0051°
    p000333   90.0000°
    p000334   90.0000°
    p000335    2.4023°
    p000336    3.9756°
    p000337   36.4371°
    p000338   90.0000°
    p000339   90.0000°
    p000340    9.5685°
    p000341  NaN
    p000342  NaN
    p000343   90.0000°
    p000344   90.0000°
    p000345    8.5984°
    p000346  NaN
    p000347  NaN
    p000348   90.0000°
    p000349  NaN
    p000350    4.2139°
    p000351    6.3147°
    p000352    6.0022°
    p000353   90.0000°
    p000354   90.0000°
    p000355    3.7754°
    p000356    3.6899°
    p000357   10.6178°
    p000358   90.0000°
    p000359   90.0000°
    p000360   19.8275°
    p000361   16.3842°
    p000362    7.6515°
    p000363   90.0000°
    p000364   90.0000°
    p000365   15.5548°
    p000366    0.8565°
    p000367   34.9490°
    p000368   90.0000°
    p000369   90.0000°
    p000370   17.0930°
    p000371   16.7983°
    p000372   10.0194°
    p000373   90.0000°
    p000374   90.0000°
    p000375    1.6889°
    p000376    7.8233°
    p000377   35.9691°
    p000378   90.0000°
    p000379   90.0000°
    p000380   15.6495°
    p000381    5.2165°
    p000382    3.2530°
    p000383   90.0000°
    p000384   90.0000°
    p000385   13.8042°
    p000386    1.8013°
    p000387    8.8694°
    p000388   90.0000°
    p000389   90.0000°
    p000390    4.7851°
    p000391    8.6011°
    p000392    8.5957°
    p000393   90.0000°
    p000394   90.0000°
    p000395    3.3316°
    p000396    6.7205°
    p000397   12.0656°
    p000398   90.0000°
    p000399   90.0000°
    p000400   13.6538°
    p000401  NaN
    p000402  NaN
    p000403   90.0000°
    p000404   90.0000°
    p000405    6.5611°
    p000406  NaN
    p000407  NaN
    p000408   90.0000°
    p000409   90.0000°
    p000410   11.2998°
    p000411   11.0923°
    p000412    7.9239°
    p000413   90.0000°
    p000414   90.0000°
    p000415    0.8637°
    p000416    3.6638°
    p000417   22.9742°
    p000418   90.0000°
    p000419   90.0000°
    p000420    9.7572°
    p000421  NaN
    p000422  NaN
    p000423   90.0000°
    p000424   90.0000°
    p000425  NaN
    p000426  NaN
    p000427  NaN
    p000428   90.0000°
    p000429  NaN
    p000430    6.9784°
    p000431    8.1592°
    p000432    3.8904°
    p000433   90.0000°
    p000434   90.0000°
    p000435    3.0662°
    p000436  NaN
    p000437   14.8147°
    p000438   90.0000°
    p000439  NaN
    p000440   16.5376°
    p000441    9.8096°
    p000442    6.1888°
    p000443   90.0000°
    p000444   90.0000°
    p000445   11.3064°
    p000446    1.2021°
