# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 15
n_points  = 20480

[ECHELLE 01]
  t           = 0.011503
  n_valid     = 13631/20480
  mean(kappa) = +3.223508
  std(kappa)  = 84.641336
  convexe     : 6555  (48.1%)
  concave     : 7076  (51.9%)
  plan (~0)   : 0  (0.0%)
  valeurs :
    p000000  +14.921576
    p000001  NaN
    p000002  NaN
    p000003  NaN
    p000004  NaN
    p000005  +5.208618
    p000006  NaN
    p000007  NaN
    p000008  +14.917185
    p000009  +46.652055
    p000010  +12.819019
    p000011  +14.925456
    p000012  NaN
    p000013  NaN
    p000014  +24.768836
    p000015  -0.307541
    p000016  +5.203483
    p000017  +14.919906
    p000018  +12.812993
    p000019  +11.658010
    p000020  +24.904712
    p000021  NaN
    p000022  NaN
    p000023  +5.195894
    p000024  +55.889694
    p000025  -4.132933
    p000026  -17.268291
    p000027  NaN
    p000028  +24.984363
    p000029  +126.139089
    p000030  +20.238383
    p000031  +24.989267
    p000032  +5.190789
    p000033  -0.307359
    p000034  +13.181467
    p000035  -4.585003
    p000036  -4.352477
    p000037  +25.068404
    p000038  +20.340727
    p000039  +20.197890
    p000040  +31.616380
    p000041  +12.821652
    p000042  NaN
    p000043  NaN
    p000044  +46.949652
    p000045  +17.154242
    p000046  -0.303870
    p000047  +12.814944
    p000048  +31.400854
    p000049  +27.047037
    p000050  -11.989992
    p000051  +31.417877
    p000052  NaN
    p000053  -36.712714
    p000054  +90.322175
    p000055  -13.747197
    p000056  +17.132997
    p000057  +31.203101
    p000058  -12.186922
    p000059  +16.798479
    p000060  +36.786603
    p000061  +20.350197
    p000062  -0.302922
    p000063  +17.126197
    p000064  +28.102224
    p000065  +7.423132
    p000066  -4.772662
    p000067  +20.451419
    p000068  +36.723199
    p000069  +33.370594
    p000070  -0.246901
    p000071  +36.735327
    p000072  +17.105350
    p000073  -13.946266
    p000074  +17.755587
    p000075  -13.230048
    p000076  +7.218342
    p000077  +36.669912
    p000078  -0.370106
    p000079  +27.251760
    p000080  -11.440455
    p000081  NaN
    p000082  -17.475438
    p000083  -4.310057
    p000084  +16.364428
    p000085  +17.472752
    p000086  NaN
    p000087  NaN
    p000088  -11.455752
    p000089  -1.540246
    p000090  -12.692527
    p000091  -11.457935
    p000092  -4.525327
    p000093  -4.736819
    p000094  +0.629632
    p000095  +14.155267
    p000096  +17.606882
    p000097  -11.472334
    p000098  -12.713512
    p000099  -17.964492
    p000100  +43.681869
    p000101  NaN
    p000102  NaN
    p000103  +17.594517
    p000104  +183.640978
    p000105  -0.726887
    p000106  NaN
    p000107  NaN
    p000108  +43.852004
    p000109  +54.205114
    p000110  +30.136133
    p000111  +43.865261
    p000112  +17.728041
    p000113  +14.228874
    p000114  +27.896322
    p000115  -3.396958
    p000116  -0.831011
    p000117  +44.036292
    p000118  +30.364705
    p000119  +42.814455
    p000120  -2.004826
    p000121  -12.718352
    p000122  -4.922083
    p000123  +7.248905
    p000124  +14.610784
    p000125  +28.939089
    p000126  +14.241065
    p000127  -12.739669
    p000128  -2.012441
    p000129  +0.852845
    p000130  -20.250586
    p000131  -2.018994
    p000132  +7.046686
    p000133  -13.463439
    p000134  +5.707218
    p000135  -6.113803
    p000136  +28.991875
    p000137  -2.025799
    p000138  -20.427499
    p000139  -4.909308
    p000140  +39.497112
    p000141  +30.366795
    p000142  +14.311038
    p000143  +28.967636
    p000144  +37.920404
    p000145  +4.119700
    p000146  -3.447083
    p000147  +30.599234
    p000148  +39.412006
    p000149  +50.153817
    p000150  +5.361424
    p000151  +39.426256
    p000152  +29.015496
    p000153  -6.280879
    p000154  +32.308142
    p000155  -9.480984
    p000156  +4.035422
    p000157  +39.340719
    p000158  +5.182127
    p000159  +38.848121
    p000160  -22.418119
    p000161  -12.133399
    p000162  -36.878877
    p000163  NaN
    p000164  -9.433247
    p000165  -24.064954
    p000166  -13.904665
    p000167  -12.326913
    p000168  -22.389741
    p000169  -0.324997
    p000170  +22.451386
    p000171  -22.394019
    p000172  NaN
    p000173  NaN
    p000174  +41.713978
    p000175  +9.993877
    p000176  -24.031721
    p000177  -22.363927
    p000178  +22.351182
    p000179  +12.889240
    p000180  -11.161602
    p000181  -0.325642
    p000182  -14.101817
    p000183  -24.023468
    p000184  -0.351510
    p000185  -20.574762
    p000186  -13.459282
    p000187  -0.446256
    p000188  -10.949539
    p000189  +7.998629
    p000190  +27.885409
    p000191  -10.954757
    p000192  -23.987691
    p000193  +9.935758
    p000194  +15.379806
    p000195  +1.287803
    p000196  -20.649121
    p000197  -10.739549
    p000198  +27.929120
    p000199  +20.192976
    p000200  +45.778792
    p000201  +22.370446
    p000202  NaN
    p000203  NaN
    p000204  +159.854865
    p000205  +32.520435
    p000206  +9.946778
    p000207  +22.272391
    p000208  +45.680042
    p000209  +37.492643
    p000210  -17.384370
    p000211  +45.686874
    p000212  NaN
    p000213  NaN
    p000214  +25.283026
    p000215  -20.281937
    p000216  +32.454905
    p000217  +45.588648
    p000218  -17.593649
    p000219  +32.738477
    p000220  +47.517390
    p000221  +27.936401
    p000222  +9.890946
    p000223  +32.446793
    p000224  +37.118211
    p000225  +15.767932
    p000226  +1.065033
    p000227  +27.977584
    p000228  +47.359161
    p000229  +45.381761
    p000230  -10.864989
    p000231  +47.367648
    p000232  +32.382027
    p000233  -20.436780
    p000234  +31.054768
    p000235  -15.511551
    p000236  +15.522489
    p000237  +47.208459
    p000238  -10.952518
    p000239  +32.679492
    p000240  -26.684465
    p000241  -20.402552
    p000242  -13.690876
    p000243  -20.612436
    p000244  -23.994160
    p000245  -15.511457
    p000246  -6.238537
    p000247  -20.578545
    p000248  -26.687896
    p000249  -21.035239
    p000250  -5.934243
    p000251  -26.702003
    p000252  -20.684850
    p000253  +1.095908
    p000254  -0.560040
    p000255  +21.197310
    p000256  -15.428831
    p000257  -26.705925
    p000258  -6.013357
    p000259  -32.623407
    p000260  -3.252614
    p000261  +5.214753
    p000262  -6.404055
    p000263  -15.418687
    p000264  +17.313318
    p000265  -15.831913
    p000266  -9.585020
    p000267  +5.035912
    p000268  -3.127190
    p000269  +26.206552
    p000270  +32.791745
    p000271  -3.128853
    p000272  -15.332980
    p000273  +21.248912
    p000274  +27.859212
    p000275  -2.211158
    p000276  -15.826354
    p000277  -3.000819
    p000278  +32.997194
    p000279  +41.044322
    p000280  +7.201719
    p000281  -6.012654
    p000282  +0.874805
    p000283  +15.548751
    p000284  +31.145657
    p000285  +39.330797
    p000286  +21.269562
    p000287  -6.091947
    p000288  +7.108522
    p000289  +18.762939
    p000290  -23.325532
    p000291  +7.108309
    p000292  +15.303807
    p000293  -15.640999
    p000294  +19.974779
    p000295  -21.235565
    p000296  +39.412332
    p000297  +7.015183
    p000298  -23.484195
    p000299  +11.943016
    p000300  +47.772701
    p000301  +32.994447
    p000302  +21.322048
    p000303  +39.397979
    p000304  +45.643432
    p000305  +9.780952
    p000306  -2.303941
    p000307  +33.202648
    p000308  +47.712632
    p000309  +49.900196
    p000310  -10.304365
    p000311  +47.721858
    p000312  +39.476313
    p000313  -21.389845
    p000314  +35.322189
    p000315  -15.450254
    p000316  +9.626112
    p000317  +47.662090
    p000318  -10.491049
    p000319  +48.160449
    p000320  -15.443544
    p000321  NaN
    p000322  NaN
    p000323  -0.634716
    p000324  +0.130717
    p000325  +9.004228
    p000326  NaN
    p000327  NaN
    p000328  -15.610619
    p000329  -71.660750
    p000330  -24.240600
    p000331  -15.621355
    p000332  -0.737921
    p000333  -3.338759
    p000334  -4.167533
    p000335  +3.397583
    p000336  +9.064434
    p000337  -15.791340
    p000338  -24.375014
    p000339  -24.661280
    p000340  -4.007484
    p000341  NaN
    p000342  NaN
    p000343  +9.055761
    p000344  +36.725157
    p000345  +13.860010
    p000346  NaN
    p000347  NaN
    p000348  -4.120447
    p000349  NaN
    p000350  -6.944175
    p000351  -4.129250
    p000352  +9.116721
    p000353  +3.418730
    p000354  +2.658827
    p000355  +8.761427
    p000356  +14.046565
    p000357  -4.237945
    p000358  -7.001079
    p000359  -44.206002
    p000360  -14.018396
    p000361  -24.373380
    p000362  -3.388406
    p000363  +4.171250
    p000364  +7.600990
    p000365  +19.191133
    p000366  +3.423172
    p000367  -24.509229
    p000368  -14.098694
    p000369  -13.649084
    p000370  -29.790648
    p000371  -14.107601
    p000372  +4.087817
    p000373  -9.563468
    p000374  -0.404636
    p000375  -10.295714
    p000376  +19.160119
    p000377  -14.188147
    p000378  -30.028933
    p000379  -22.610157
    p000380  +8.971330
    p000381  -7.005118
    p000382  +3.444755
    p000383  +19.154501
    p000384  +13.071245
    p000385  +20.556139
    p000386  +8.838982
    p000387  -7.065057
    p000388  +8.798757
    p000389  +19.365206
    p000390  -17.488809
    p000391  +8.785118
    p000392  +19.124990
    p000393  -10.461483
    p000394  +6.221278
    p000395  -9.430914
    p000396  +20.643290
    p000397  +8.605242
    p000398  -17.685212
    p000399  -4.350855
    p000400  +31.597223
    p000401  NaN
    p000402  NaN
    p000403  +14.017105
    p000404  +102.270804
    p000405  +8.010173
    p000406  NaN
    p000407  NaN
    p000408  +31.969556
    p000409  +56.150634
    p000410  +22.125937
    p000411  +31.979650
    p000412  +14.187396
    p000413  +8.825802
    p000414  +18.974558
    p000415  +2.577955
    p000416  +7.968237
    p000417  +32.342904
    p000418  +22.421837
    p000419  +29.068501
    p000420  +18.990271
    p000421  NaN
    p000422  NaN
    p000423  +7.965174
    p000424  +36.741492
    p000425  NaN
    p000426  NaN
    p000427  NaN
    p000428  +19.179611
    p000429  NaN
    p000430  +13.145359
    p000431  +19.197376
    p000432  +7.925080
    p000433  +2.581178
    p000434  +14.063230
    p000435  +15.864028
    p000436  NaN
    p000437  +19.414796
    p000438  +13.201291
    p000439  NaN
    p000440  +30.581930
    p000441  +22.427232
    p000442  +8.897248
    p000443  +20.612236
    p000444  +27.014108
