# NU — variation géométrique ν(p,t)
# Mellado et al. (2012) Section 4.2, Eq. 5 :
#   ν(p,t) = (dτ/dt)² + (t·dη/dt)² + (t²·dκ/dt)²
# ν faible : échelle pertinente (descripteur stable)
# ν élevé  : échelle instable / structure fine en train de changer
#
n_scales  = 15
n_points  = 20480

[ECHELLE 01]
  t           = 0.011503
  n_valid     = 13631/20480
  mean(nu)    = 34097.283886
  std(nu)     = 2430335.664139
  valeurs :
    p000000  0.058612
    p000001  NaN
    p000002  NaN
    p000003  NaN
    p000004  NaN
    p000005  0.059925
    p000006  NaN
    p000007  NaN
    p000008  0.062905
    p000009  41.527284
    p000010  0.132521
    p000011  0.063506
    p000012  NaN
    p000013  NaN
    p000014  15.157890
    p000015  0.002526
    p000016  0.059951
    p000017  0.067857
    p000018  0.134169
    p000019  0.101429
    p000020  0.057862
    p000021  NaN
    p000022  NaN
    p000023  0.060139
    p000024  49.776515
    p000025  0.797102
    p000026  2.709000
    p000027  NaN
    p000028  0.055936
    p000029  269.162218
    p000030  0.053087
    p000031  0.055798
    p000032  0.060147
    p000033  0.002480
    p000034  0.141463
    p000035  0.416324
    p000036  0.774473
    p000037  0.053878
    p000038  0.054012
    p000039  0.063317
    p000040  1.146500
    p000041  0.134551
    p000042  NaN
    p000043  NaN
    p000044  40.058090
    p000045  0.005698
    p000046  0.002454
    p000047  0.136071
    p000048  1.105103
    p000049  0.688101
    p000050  0.471317
    p000051  1.105033
    p000052  NaN
    p000053  4.349908
    p000054  10.057164
    p000055  0.262918
    p000056  0.005535
    p000057  1.063151
    p000058  0.462352
    p000059  0.051216
    p000060  0.826037
    p000061  0.053951
    p000062  0.002398
    p000063  0.005470
    p000064  0.807311
    p000065  0.262967
    p000066  0.404693
    p000067  0.054844
    p000068  0.831709
    p000069  0.194055
    p000070  0.248914
    p000071  0.832839
    p000072  0.005310
    p000073  0.259542
    p000074  0.056844
    p000075  0.531365
    p000076  0.266548
    p000077  0.836629
    p000078  0.259140
    p000079  0.024236
    p000080  0.053732
    p000081  NaN
    p000082  2.662434
    p000083  0.776072
    p000084  10.048227
    p000085  0.003809
    p000086  NaN
    p000087  NaN
    p000088  0.052636
    p000089  13.534267
    p000090  0.004028
    p000091  0.052501
    p000092  0.751663
    p000093  0.407289
    p000094  0.000363
    p000095  0.022536
    p000096  0.004890
    p000097  0.051329
    p000098  0.004091
    p000099  1.313165
    p000100  0.012587
    p000101  NaN
    p000102  NaN
    p000103  0.004812
    p000104  1652.347152
    p000105  0.209887
    p000106  NaN
    p000107  NaN
    p000108  0.013228
    p000109  8.779638
    p000110  0.022601
    p000111  0.013290
    p000112  0.006073
    p000113  0.020645
    p000114  0.257655
    p000115  0.097461
    p000116  0.205118
    p000117  0.014082
    p000118  0.027204
    p000119  1.837225
    p000120  0.072414
    p000121  0.004100
    p000122  0.394815
    p000123  0.267525
    p000124  0.015832
    p000125  0.679661
    p000126  0.020774
    p000127  0.004162
    p000128  0.075694
    p000129  0.032096
    p000130  0.200763
    p000131  0.075519
    p000132  0.270591
    p000133  0.518688
    p000134  0.000766
    p000135  0.169003
    p000136  0.682445
    p000137  0.078783
    p000138  0.197172
    p000139  0.074799
    p000140  0.548799
    p000141  0.027265
    p000142  0.018747
    p000143  0.680328
    p000144  0.484948
    p000145  0.054351
    p000146  0.095878
    p000147  0.032506
    p000148  0.569459
    p000149  2.347795
    p000150  0.054454
    p000151  0.569216
    p000152  0.680401
    p000153  0.168882
    p000154  0.082928
    p000155  0.029065
    p000156  0.051729
    p000157  0.589484
    p000158  0.056266
    p000159  0.406172
    p000160  0.099283
    p000161  0.460594
    p000162  4.312987
    p000163  NaN
    p000164  3.853010
    p000165  0.025059
    p000166  0.260212
    p000167  0.450493
    p000168  0.097081
    p000169  0.000418
    p000170  0.117875
    p000171  0.097255
    p000172  NaN
    p000173  NaN
    p000174  478.003152
    p000175  0.004641
    p000176  0.026763
    p000177  0.094918
    p000178  0.111159
    p000179  0.761110
    p000180  0.664987
    p000181  0.258335
    p000182  0.256204
    p000183  0.027001
    p000184  0.000351
    p000185  0.665317
    p000186  0.516340
    p000187  0.268300
    p000188  0.666595
    p000189  0.001115
    p000190  0.018995
    p000191  0.668680
    p000192  0.028709
    p000193  0.004553
    p000194  1.131049
    p000195  0.395486
    p000196  0.638509
    p000197  0.668996
    p000198  0.018185
    p000199  0.824821
    p000200  0.014287
    p000201  0.111281
    p000202  NaN
    p000203  NaN
    p000204  1566.095813
    p000205  0.049425
    p000206  0.004481
    p000207  0.104900
    p000208  0.014662
    p000209  0.460015
    p000210  0.588214
    p000211  0.014631
    p000212  NaN
    p000213  NaN
    p000214  2.734219
    p000215  0.366708
    p000216  0.047504
    p000217  0.015047
    p000218  0.572545
    p000219  1.143126
    p000220  1.393195
    p000221  0.018338
    p000222  0.004343
    p000223  0.047515
    p000224  0.471121
    p000225  0.032266
    p000226  0.393924
    p000227  0.017451
    p000228  1.397219
    p000229  0.153405
    p000230  0.128838
    p000231  1.400465
    p000232  0.045615
    p000233  0.356745
    p000234  1.020774
    p000235  0.076568
    p000236  0.034433
    p000237  1.402466
    p000238  0.127585
    p000239  0.281344
    p000240  0.017149
    p000241  0.198566
    p000242  0.502363
    p000243  0.642537
    p000244  0.005016
    p000245  0.091966
    p000246  0.168438
    p000247  0.194620
    p000248  0.017325
    p000249  0.190398
    p000250  0.008849
    p000251  0.017470
    p000252  0.615264
    p000253  0.395702
    p000254  0.000241
    p000255  0.032982
    p000256  0.090436
    p000257  0.017656
    p000258  0.009094
    p000259  52.229510
    p000260  0.056704
    p000261  0.056058
    p000262  0.167836
    p000263  0.090448
    p000264  0.012607
    p000265  0.004535
    p000266  0.028774
    p000267  0.057953
    p000268  0.054563
    p000269  0.059828
    p000270  0.018622
    p000271  0.054606
    p000272  0.088679
    p000273  0.033575
    p000274  3.412219
    p000275  0.021572
    p000276  0.004573
    p000277  0.052438
    p000278  0.021335
    p000279  6.565252
    p000280  0.017784
    p000281  0.009075
    p000282  0.393076
    p000283  0.034421
    p000284  0.031717
    p000285  0.193399
    p000286  0.033955
    p000287  0.009326
    p000288  0.017177
    p000289  1.637625
    p000290  0.127109
    p000291  0.017254
    p000292  0.036740
    p000293  0.075498
    p000294  0.034767
    p000295  0.095161
    p000296  0.183998
    p000297  0.016658
    p000298  0.121956
    p000299  0.478541
    p000300  0.066783
    p000301  0.021394
    p000302  0.034554
    p000303  0.185084
    p000304  0.363675
    p000305  0.032829
    p000306  0.021684
    p000307  0.024256
    p000308  0.069277
    p000309  1.165711
    p000310  0.105957
    p000311  0.069580
    p000312  0.174572
    p000313  0.095940
    p000314  0.626338
    p000315  0.131213
    p000316  0.031273
    p000317  0.072176
    p000318  0.103049
    p000319  1.712344
    p000320  0.023296
    p000321  NaN
    p000322  NaN
    p000323  0.217285
    p000324  0.051551
    p000325  0.004629
    p000326  NaN
    p000327  NaN
    p000328  0.023982
    p000329  131.174649
    p000330  0.060154
    p000331  0.024042
    p000332  0.212545
    p000333  0.099447
    p000334  0.000224
    p000335  0.000167
    p000336  0.003839
    p000337  0.025021
    p000338  0.062542
    p000339  0.146420
    p000340  0.114768
    p000341  NaN
    p000342  NaN
    p000343  0.003952
    p000344  136.512111
    p000345  0.084212
    p000346  NaN
    p000347  NaN
    p000348  0.107909
    p000349  NaN
    p000350  0.003332
    p000351  0.107343
    p000352  0.003384
    p000353  0.000193
    p000354  0.001443
    p000355  0.025992
    p000356  0.078145
    p000357  0.099073
    p000358  0.003387
    p000359  197.241201
    p000360  0.180788
    p000361  0.062462
    p000362  0.097881
    p000363  0.054591
    p000364  0.029575
    p000365  0.008999
    p000366  0.000199
    p000367  0.064979
    p000368  0.192092
    p000369  0.045142
    p000370  0.464050
    p000371  0.191910
    p000372  0.052006
    p000373  0.028520
    p000374  0.003180
    p000375  0.106681
    p000376  0.009095
    p000377  0.203457
    p000378  0.460987
    p000379  0.037540
    p000380  0.001709
    p000381  0.003408
    p000382  0.000229
    p000383  0.009048
    p000384  0.041694
    p000385  0.357634
    p000386  0.022970
    p000387  0.003417
    p000388  0.001929
    p000389  80.515505
    p000390  0.452342
    p000391  0.001907
    p000392  0.009146
    p000393  0.104693
    p000394  0.001705
    p000395  0.346851
    p000396  0.346930
    p000397  0.002295
    p000398  0.447370
    p000399  1.101463
    p000400  0.043870
    p000401  NaN
    p000402  NaN
    p000403  0.078804
    p000404  504.816199
    p000405  0.000444
    p000406  NaN
    p000407  NaN
    p000408  0.041385
    p000409  31.519676
    p000410  0.005920
    p000411  0.041736
    p000412  0.071211
    p000413  0.023386
    p000414  0.138621
    p000415  0.000059
    p000416  0.000394
    p000417  0.038025
    p000418  0.008553
    p000419  1.016304
    p000420  0.276477
    p000421  NaN
    p000422  NaN
    p000423  0.000394
    p000424  14.750580
    p000425  NaN
    p000426  NaN
    p000427  NaN
    p000428  0.341786
    p000429  NaN
    p000430  0.026086
    p000431  0.346391
    p000432  0.000363
    p000433  0.000060
    p000434  0.265616
    p000435  0.014982
    p000436  NaN
    p000437  0.433140
    p000438  0.030062
    p000439  NaN
    p000440  0.316457
    p000441  0.008605
    p000442  0.020318
    p000443  0.347055
    p000444  0.313948
    p000445  0.005481
    p000446  0.000061
    p000447  0.012216
    p000448  0.334521
    p000449  1.543972
    p000450  0.058003
    p000451  0.334789
    p000452  0.334789
    p000453  0.334677
    p000454  0.053547
    p000455  0.174214
    p000456  0.004445
    p000457  0.353517
    p000458  0.058250
    p000459  0.260098
    p000460  0.432755
    p000461  0.030280
    p000462  0.000062
    p000463  0.004483
    p000464  0.625370
    p000465  0.441607
    p000466  0.015045
    p000467  0.035086
    p000468  0.443333
    p000469  NaN
    p000470  0.249231
    p000471  0.445174
    p000472  0.003626
    p000473  0.173290
    p000474  0.105998
    p000475  0.083369
    p000476  0.407131
    p000477  0.454317
    p000478  0.264590
    p000479  NaN
    p000480  0.189526
    p000481  0.462208
    p000482  0.028193
    p000483  0.004552
    p000484  0.000614
