# PHI — fitness ϕ (qualité d'alignement du fit)
# Mellado et al. (2012) Section 4.1 : ϕ = Σwi(t)∇su(qi)·ni / Σwi(t)
# ϕ = 1 : fit parfait   ϕ ≈ 0 : fit incohérent (bruit, bord, normales incohérentes)
#
n_scales  = 15
n_points  = 20480

[ECHELLE 01]
  t           = 0.011503
  n_valid     = 13631/20480
  mean(phi)   = 0.426250
  std(phi)    = 0.142075
  valeurs :
    p000000  0.533914
    p000001  NaN
    p000002  NaN
    p000003  NaN
    p000004  NaN
    p000005  0.489377
    p000006  NaN
    p000007  NaN
    p000008  0.534086
    p000009  0.027253
    p000010  0.489326
    p000011  0.534086
    p000012  NaN
    p000013  NaN
    p000014  0.015296
    p000015  0.456622
    p000016  0.489432
    p000017  0.534253
    p000018  0.489381
    p000019  0.226132
    p000020  0.442261
    p000021  NaN
    p000022  NaN
    p000023  0.489418
    p000024  0.036419
    p000025  0.453865
    p000026  0.976827
    p000027  NaN
    p000028  0.442000
    p000029  0.000091
    p000030  0.407957
    p000031  0.442023
    p000032  0.489467
    p000033  0.456533
    p000034  0.221415
    p000035  0.392818
    p000036  0.453559
    p000037  0.441760
    p000038  0.407901
    p000039  0.293866
    p000040  0.448193
    p000041  0.489368
    p000042  NaN
    p000043  NaN
    p000044  0.021066
    p000045  0.409524
    p000046  0.456533
    p000047  0.489417
    p000048  0.447929
    p000049  0.224162
    p000050  0.452854
    p000051  0.447908
    p000052  NaN
    p000053  0.245496
    p000054  0.000040
    p000055  0.391874
    p000056  0.409462
    p000057  0.447641
    p000058  0.452526
    p000059  0.297200
    p000060  0.377222
    p000061  0.407922
    p000062  0.456429
    p000063  0.409483
    p000064  0.221449
    p000065  0.345960
    p000066  0.393073
    p000067  0.407857
    p000068  0.377559
    p000069  0.291774
    p000070  0.342981
    p000071  0.377562
    p000072  0.409412
    p000073  0.392114
    p000074  0.289409
    p000075  0.333825
    p000076  0.346505
    p000077  0.377894
    p000078  0.343498
    p000079  0.348050
    p000080  0.475280
    p000081  NaN
    p000082  0.976132
    p000083  0.453440
    p000084  0.015450
    p000085  0.487053
    p000086  NaN
    p000087  NaN
    p000088  0.475253
    p000089  0.002550
    p000090  0.424678
    p000091  0.475258
    p000092  0.453135
    p000093  0.393024
    p000094  0.355226
    p000095  0.454891
    p000096  0.486692
    p000097  0.475225
    p000098  0.424720
    p000099  0.095545
    p000100  0.403286
    p000101  NaN
    p000102  NaN
    p000103  0.486691
    p000104  0.008719
    p000105  0.429869
    p000106  NaN
    p000107  NaN
    p000108  0.403174
    p000109  0.099111
    p000110  0.384940
    p000111  0.403186
    p000112  0.486320
    p000113  0.454305
    p000114  0.266893
    p000115  0.392441
    p000116  0.429926
    p000117  0.403075
    p000118  0.385517
    p000119  0.224118
    p000120  0.374213
    p000121  0.424695
    p000122  0.393277
    p000123  0.346527
    p000124  0.343797
    p000125  0.424164
    p000126  0.454264
    p000127  0.424725
    p000128  0.374113
    p000129  0.089909
    p000130  0.375043
    p000131  0.374078
    p000132  0.347073
    p000133  0.334286
    p000134  0.384888
    p000135  0.402571
    p000136  0.423854
    p000137  0.373971
    p000138  0.374899
    p000139  0.153105
    p000140  0.372273
    p000141  0.385529
    p000142  0.453645
    p000143  0.423932
    p000144  0.268877
    p000145  0.368407
    p000146  0.392686
    p000147  0.386101
    p000148  0.373295
    p000149  0.230721
    p000150  0.340856
    p000151  0.373263
    p000152  0.423595
    p000153  0.402755
    p000154  0.315555
    p000155  0.353724
    p000156  0.369037
    p000157  0.374285
    p000158  0.341752
    p000159  0.265334
    p000160  0.477767
    p000161  0.452410
    p000162  0.245326
    p000163  NaN
    p000164  0.009804
    p000165  0.425457
    p000166  0.392069
    p000167  0.452083
    p000168  0.477758
    p000169  0.350598
    p000170  0.488886
    p000171  0.477751
    p000172  NaN
    p000173  NaN
    p000174  0.001487
    p000175  0.455229
    p000176  0.425502
    p000177  0.477737
    p000178  0.488503
    p000179  0.096069
    p000180  0.373584
    p000181  0.343524
    p000182  0.392308
    p000183  0.425476
    p000184  0.342326
    p000185  0.374552
    p000186  0.334294
    p000187  0.344041
    p000188  0.373435
    p000189  0.373502
    p000190  0.422142
    p000191  0.373464
    p000192  0.425509
    p000193  0.454589
    p000194  0.093190
    p000195  0.404300
    p000196  0.374430
    p000197  0.373310
    p000198  0.421813
    p000199  0.154931
    p000200  0.412667
    p000201  0.488505
    p000202  NaN
    p000203  NaN
    p000204  0.004450
    p000205  0.388137
    p000206  0.454630
    p000207  0.488113
    p000208  0.412503
    p000209  0.268533
    p000210  0.424170
    p000211  0.412495
    p000212  NaN
    p000213  NaN
    p000214  0.065383
    p000215  0.386310
    p000216  0.388654
    p000217  0.412332
    p000218  0.424206
    p000219  0.229387
    p000220  0.381098
    p000221  0.421896
    p000222  0.453957
    p000223  0.388663
    p000224  0.263331
    p000225  0.345500
    p000226  0.404499
    p000227  0.421541
    p000228  0.382050
    p000229  0.318745
    p000230  0.360751
    p000231  0.382091
    p000232  0.389175
    p000233  0.386542
    p000234  0.228469
    p000235  0.348117
    p000236  0.346393
    p000237  0.383043
    p000238  0.361336
    p000239  0.270321
    p000240  0.410165
    p000241  0.374752
    p000242  0.334760
    p000243  0.374274
    p000244  0.420891
    p000245  0.432061
    p000246  0.402711
    p000247  0.374604
    p000248  0.409846
    p000249  0.250320
    p000250  0.432150
    p000251  0.409847
    p000252  0.374147
    p000253  0.404451
    p000254  0.248330
    p000255  0.467287
    p000256  0.431845
    p000257  0.409525
    p000258  0.431939
    p000259  0.011513
    p000260  0.362034
    p000261  0.341768
    p000262  0.402882
    p000263  0.431848
    p000264  0.347106
    p000265  0.384114
    p000266  0.354149
    p000267  0.342668
    p000268  0.362180
    p000269  0.313087
    p000270  0.417566
    p000271  0.362165
    p000272  0.431610
    p000273  0.466543
    p000274  0.129240
    p000275  0.416472
    p000276  0.383920
    p000277  0.362308
    p000278  0.417893
    p000279  0.106014
    p000280  0.367055
    p000281  0.431941
    p000282  0.404637
    p000283  0.346405
    p000284  0.350127
    p000285  0.423156
    p000286  0.466544
    p000287  0.431709
    p000288  0.367175
    p000289  0.122156
    p000290  0.379836
    p000291  0.367188
    p000292  0.347302
    p000293  0.348549
    p000294  0.326649
    p000295  0.409675
    p000296  0.423458
    p000297  0.367305
    p000298  0.379626
    p000299  0.103766
    p000300  0.392392
    p000301  0.417960
    p000302  0.465795
    p000303  0.423523
    p000304  0.296251
    p000305  0.366544
    p000306  0.416725
    p000307  0.418264
    p000308  0.393933
    p000309  0.256166
    p000310  0.357050
    p000311  0.393938
    p000312  0.423801
    p000313  0.409925
    p000314  0.254122
    p000315  0.349376
    p000316  0.367478
    p000317  0.395485
    p000318  0.357958
    p000319  0.264913
    p000320  0.377156
    p000321  NaN
    p000322  NaN
    p000323  0.429848
    p000324  0.177042
    p000325  0.463072
    p000326  NaN
    p000327  NaN
    p000328  0.376750
    p000329  0.003668
    p000330  0.331745
    p000331  0.376718
    p000332  0.429905
    p000333  0.392642
    p000334  0.327275
    p000335  0.405216
    p000336  0.462566
    p000337  0.376305
    p000338  0.331165
    p000339  0.245394
    p000340  0.497561
    p000341  NaN
    p000342  NaN
    p000343  0.462625
    p000344  0.006299
    p000345  0.513314
    p000346  NaN
    p000347  NaN
    p000348  0.498546
    p000349  NaN
    p000350  0.462808
    p000351  0.498631
    p000352  0.462092
    p000353  0.405221
    p000354  0.308823
    p000355  0.484679
    p000356  0.512061
    p000357  0.499597
    p000358  0.464253
    p000359  0.004370
    p000360  0.290270
    p000361  0.331102
    p000362  0.392891
    p000363  0.368949
    p000364  0.323401
    p000365  0.367375
    p000366  0.405232
    p000367  0.330517
    p000368  0.289841
    p000369  0.232549
    p000370  0.299148
    p000371  0.289808
    p000372  0.369585
    p000373  0.354043
    p000374  0.353339
    p000375  0.351143
    p000376  0.367678
    p000377  0.289376
    p000378  0.298721
    p000379  0.288474
    p000380  0.427521
    p000381  0.464354
    p000382  0.405220
    p000383  0.367629
    p000384  0.300529
    p000385  0.456396
    p000386  0.482795
    p000387  0.465778
    p000388  0.428741
    p000389  0.003326
    p000390  0.422102
    p000391  0.428833
    p000392  0.367920
    p000393  0.351448
    p000394  0.348632
    p000395  0.445778
    p000396  0.454691
    p000397  0.430001
    p000398  0.423069
    p000399  0.018126
    p000400  0.441765
    p000401  NaN
    p000402  NaN
    p000403  0.512178
    p000404  0.015633
    p000405  0.491346
    p000406  NaN
    p000407  NaN
    p000408  0.441790
    p000409  0.045520
    p000410  0.415222
    p000411  0.441804
    p000412  0.510876
    p000413  0.483018
    p000414  0.266219
    p000415  0.463061
    p000416  0.491470
    p000417  0.441775
    p000418  0.415863
    p000419  0.218698
    p000420  0.516013
    p000421  NaN
    p000422  NaN
    p000423  0.491436
    p000424  0.047728
    p000425  NaN
    p000426  NaN
    p000427  NaN
    p000428  0.517598
    p000429  NaN
    p000430  0.495045
    p000431  0.517680
    p000432  0.491517
    p000433  0.463246
    p000434  0.202983
    p000435  0.481976
    p000436  NaN
    p000437  0.519239
    p000438  0.497078
    p000439  NaN
    p000440  0.401984
    p000441  0.415874
    p000442  0.481097
    p000443  0.454975
    p000444  0.265273
    p000445  0.437585
    p000446  0.463254
    p000447  0.416479
    p000448  0.403045
    p000449  0.219086
    p000450  0.374697
    p000451  0.403027
    p000452  0.453241
    p000453  0.445014
    p000454  0.309054
    p000455  0.420297
    p000456  0.438429
    p000457  0.404059
    p000458  0.375484
    p000459  0.263025
    p000460  0.464349
    p000461  0.497170
    p000462  0.463407
    p000463  0.438423
    p000464  0.201255
    p000465  0.496501
    p000466  0.480827
    p000467  0.499188
    p000468  0.466713
    p000469  NaN
    p000470  0.469888
    p000471  0.466840
    p000472  0.439241
    p000473  0.420623
    p000474  0.248565
    p000475  0.459447
    p000476  0.495597
    p000477  0.469203
    p000478  0.472001
    p000479  NaN
    p000480  0.349481
    p000481  0.298601
    p000482  0.354475
    p000483  0.383814
    p000484  0.390247
    p000485  0.392936
