# TAU — offset algébrique (τ)
# Mellado et al. (2012) Eq. 4 : τ = s_û(p)
# τ > 0 : p à l'extérieur   τ = 0 : sur la surface   τ < 0 : à l'intérieur
#
n_scales  = 15
n_points  = 20480

[ECHELLE 01]
  t         = 0.011503
  n_valid   = 13631/20480
  mean(tau) = -0.000005
  std(tau)  = 0.000193
  valeurs   :
    p000000  +0.000009
    p000001  NaN
    p000002  NaN
    p000003  NaN
    p000004  NaN
    p000005  +0.000005
    p000006  NaN
    p000007  NaN
    p000008  +0.000012
    p000009  -0.000550
    p000010  +0.000023
    p000011  +0.000012
    p000012  NaN
    p000013  NaN
    p000014  -0.000296
    p000015  -0.000011
    p000016  +0.000010
    p000017  +0.000016
    p000018  +0.000028
    p000019  -0.000339
    p000020  +0.000081
    p000021  NaN
    p000022  NaN
    p000023  +0.000013
    p000024  -0.000686
    p000025  +0.000139
    p000026  +0.000156
    p000027  NaN
    p000028  +0.000093
    p000029  -0.000399
    p000030  +0.000092
    p000031  +0.000092
    p000032  +0.000018
    p000033  -0.000002
    p000034  -0.000390
    p000035  +0.000107
    p000036  +0.000157
    p000037  +0.000104
    p000038  +0.000105
    p000039  -0.000532
    p000040  +0.000102
    p000041  +0.000030
    p000042  NaN
    p000043  NaN
    p000044  -0.000538
    p000045  +0.000069
    p000046  -0.000002
    p000047  +0.000035
    p000048  +0.000114
    p000049  -0.000713
    p000050  +0.000237
    p000051  +0.000114
    p000052  NaN
    p000053  +0.000234
    p000054  -0.000312
    p000055  +0.000196
    p000056  +0.000085
    p000057  +0.000127
    p000058  +0.000255
    p000059  -0.000464
    p000060  +0.000199
    p000061  +0.000106
    p000062  +0.000008
    p000063  +0.000087
    p000064  -0.000776
    p000065  +0.000237
    p000066  +0.000129
    p000067  +0.000119
    p000068  +0.000219
    p000069  -0.000906
    p000070  +0.000357
    p000071  +0.000219
    p000072  +0.000102
    p000073  +0.000219
    p000074  -0.000489
    p000075  +0.000247
    p000076  +0.000265
    p000077  +0.000240
    p000078  +0.000383
    p000079  -0.000650
    p000080  -0.000153
    p000081  NaN
    p000082  +0.000178
    p000083  +0.000164
    p000084  -0.000291
    p000085  +0.000028
    p000086  NaN
    p000087  NaN
    p000088  -0.000142
    p000089  -0.000003
    p000090  -0.000178
    p000091  -0.000138
    p000092  +0.000182
    p000093  +0.000133
    p000094  -0.000023
    p000095  +0.000035
    p000096  +0.000037
    p000097  -0.000127
    p000098  -0.000165
    p000099  +0.000289
    p000100  +0.000108
    p000101  NaN
    p000102  NaN
    p000103  +0.000041
    p000104  -0.001010
    p000105  +0.000165
    p000106  NaN
    p000107  NaN
    p000108  +0.000138
    p000109  -0.000873
    p000110  +0.000103
    p000111  +0.000135
    p000112  +0.000050
    p000113  +0.000051
    p000114  -0.000801
    p000115  +0.000171
    p000116  +0.000208
    p000117  +0.000165
    p000118  +0.000134
    p000119  -0.001066
    p000120  -0.000089
    p000121  -0.000159
    p000122  +0.000156
    p000123  +0.000272
    p000124  -0.000380
    p000125  +0.000106
    p000126  +0.000049
    p000127  -0.000146
    p000128  -0.000068
    p000129  -0.000099
    p000130  -0.000025
    p000131  -0.000064
    p000132  +0.000300
    p000133  +0.000287
    p000134  -0.000116
    p000135  +0.000249
    p000136  +0.000126
    p000137  -0.000043
    p000138  +0.000001
    p000139  +0.000163
    p000140  +0.000161
    p000141  +0.000134
    p000142  +0.000065
    p000143  +0.000130
    p000144  -0.001088
    p000145  +0.000280
    p000146  +0.000217
    p000147  +0.000165
    p000148  +0.000198
    p000149  -0.001274
    p000150  +0.000354
    p000151  +0.000196
    p000152  +0.000149
    p000153  +0.000277
    p000154  -0.000859
    p000155  +0.000317
    p000156  +0.000329
    p000157  +0.000234
    p000158  +0.000397
    p000159  -0.001097
    p000160  -0.000191
    p000161  +0.000261
    p000162  +0.000256
    p000163  NaN
    p000164  +0.000009
    p000165  -0.000245
    p000166  +0.000222
    p000167  +0.000278
    p000168  -0.000180
    p000169  -0.000005
    p000170  +0.000036
    p000171  -0.000183
    p000172  NaN
    p000173  NaN
    p000174  -0.000151
    p000175  +0.000015
    p000176  -0.000235
    p000177  -0.000172
    p000178  +0.000049
    p000179  -0.000305
    p000180  -0.000145
    p000181  +0.000389
    p000182  +0.000245
    p000183  -0.000229
    p000184  -0.000004
    p000185  -0.000174
    p000186  +0.000287
    p000187  +0.000415
    p000188  -0.000125
    p000189  -0.000160
    p000190  +0.000102
    p000191  -0.000128
    p000192  -0.000219
    p000193  +0.000033
    p000194  -0.000373
    p000195  +0.000145
    p000196  -0.000150
    p000197  -0.000108
    p000198  +0.000123
    p000199  -0.000481
    p000200  +0.000108
    p000201  +0.000052
    p000202  NaN
    p000203  NaN
    p000204  -0.000864
    p000205  +0.000107
    p000206  +0.000034
    p000207  +0.000064
    p000208  +0.000141
    p000209  -0.001084
    p000210  +0.000258
    p000211  +0.000143
    p000212  NaN
    p000213  NaN
    p000214  -0.000542
    p000215  +0.000284
    p000216  +0.000144
    p000217  +0.000177
    p000218  +0.000301
    p000219  -0.000818
    p000220  +0.000200
    p000221  +0.000126
    p000222  +0.000051
    p000223  +0.000144
    p000224  -0.001076
    p000225  +0.000251
    p000226  +0.000176
    p000227  +0.000147
    p000228  +0.000239
    p000229  -0.001197
    p000230  +0.000424
    p000231  +0.000241
    p000232  +0.000182
    p000233  +0.000331
    p000234  -0.000799
    p000235  +0.000351
    p000236  +0.000299
    p000237  +0.000280
    p000238  +0.000473
    p000239  -0.000905
    p000240  -0.000379
    p000241  +0.000011
    p000242  +0.000327
    p000243  -0.000140
    p000244  +0.000368
    p000245  -0.000171
    p000246  +0.000279
    p000247  +0.000037
    p000248  -0.000360
    p000249  +0.000589
    p000250  -0.000120
    p000251  -0.000360
    p000252  -0.000117
    p000253  +0.000178
    p000254  +0.000006
    p000255  +0.000037
    p000256  -0.000155
    p000257  -0.000341
    p000258  -0.000099
    p000259  +0.000240
    p000260  -0.000089
    p000261  +0.000400
    p000262  +0.000307
    p000263  -0.000148
    p000264  -0.000417
    p000265  -0.000001
    p000266  +0.000373
    p000267  +0.000443
    p000268  -0.000051
    p000269  -0.000700
    p000270  +0.000075
    p000271  -0.000056
    p000272  -0.000132
    p000273  +0.000061
    p000274  -0.000696
    p000275  +0.000255
    p000276  +0.000045
    p000277  -0.000018
    p000278  +0.000112
    p000279  -0.000880
    p000280  -0.000003
    p000281  -0.000093
    p000282  +0.000209
    p000283  +0.000302
    p000284  -0.000732
    p000285  +0.000096
    p000286  +0.000060
    p000287  -0.000072
    p000288  +0.000038
    p000289  -0.000485
    p000290  +0.000178
    p000291  +0.000043
    p000292  +0.000350
    p000293  +0.000408
    p000294  -0.000528
    p000295  +0.000423
    p000296  +0.000136
    p000297  +0.000083
    p000298  +0.000227
    p000299  -0.000287
    p000300  +0.000142
    p000301  +0.000113
    p000302  +0.000085
    p000303  +0.000137
    p000304  -0.001281
    p000305  +0.000327
    p000306  +0.000305
    p000307  +0.000150
    p000308  +0.000192
    p000309  -0.001438
    p000310  +0.000512
    p000311  +0.000192
    p000312  +0.000177
    p000313  +0.000472
    p000314  -0.001014
    p000315  +0.000443
    p000316  +0.000389
    p000317  +0.000243
    p000318  +0.000570
    p000319  -0.001084
    p000320  -0.000252
    p000321  NaN
    p000322  NaN
    p000323  +0.000211
    p000324  -0.000154
    p000325  +0.000017
    p000326  NaN
    p000327  NaN
    p000328  -0.000220
    p000329  +0.000483
    p000330  -0.000378
    p000331  -0.000215
    p000332  +0.000254
    p000333  +0.000218
    p000334  +0.000011
    p000335  +0.000004
    p000336  +0.000029
    p000337  -0.000182
    p000338  -0.000344
    p000339  +0.000660
    p000340  -0.000013
    p000341  NaN
    p000342  NaN
    p000343  +0.000024
    p000344  -0.000233
    p000345  +0.000013
    p000346  NaN
    p000347  NaN
    p000348  -0.000006
    p000349  NaN
    p000350  -0.000032
    p000351  -0.000004
    p000352  +0.000036
    p000353  +0.000014
    p000354  -0.000073
    p000355  +0.000010
    p000356  +0.000016
    p000357  +0.000003
    p000358  -0.000022
    p000359  +0.000217
    p000360  -0.000329
    p000361  -0.000338
    p000362  +0.000264
    p000363  +0.000332
    p000364  -0.000266
    p000365  +0.000102
    p000366  +0.000020
    p000367  -0.000304
    p000368  -0.000288
    p000369  +0.000347
    p000370  -0.000293
    p000371  -0.000283
    p000372  +0.000381
    p000373  +0.000373
    p000374  -0.000025
    p000375  +0.000191
    p000376  +0.000123
    p000377  -0.000242
    p000378  -0.000249
    p000379  +0.000595
    p000380  +0.000019
    p000381  -0.000018
    p000382  +0.000030
    p000383  +0.000119
    p000384  -0.000366
    p000385  +0.000055
    p000386  +0.000019
    p000387  -0.000008
    p000388  +0.000035
    p000389  -0.000104
    p000390  +0.000112
    p000391  +0.000038
    p000392  +0.000140
    p000393  +0.000213
    p000394  -0.000153
    p000395  +0.000169
    p000396  +0.000070
    p000397  +0.000054
    p000398  +0.000134
    p000399  +0.000097
    p000400  +0.000057
    p000401  NaN
    p000402  NaN
    p000403  +0.000027
    p000404  -0.000820
    p000405  -0.000032
    p000406  NaN
    p000407  NaN
    p000408  +0.000083
    p000409  -0.000679
    p000410  +0.000063
    p000411  +0.000081
    p000412  +0.000031
    p000413  +0.000028
    p000414  -0.000549
    p000415  -0.000044
    p000416  +0.000018
    p000417  +0.000107
    p000418  +0.000091
    p000419  -0.000787
    p000420  -0.000046
    p000421  NaN
    p000422  NaN
    p000423  +0.000023
    p000424  -0.000538
    p000425  NaN
    p000426  NaN
    p000427  NaN
    p000428  +0.000015
    p000429  NaN
    p000430  -0.000042
    p000431  +0.000013
    p000432  +0.000073
    p000433  +0.000012
    p000434  -0.000371
    p000435  -0.000041
    p000436  NaN
    p000437  +0.000074
    p000438  +0.000020
    p000439  NaN
    p000440  +0.000115
    p000441  +0.000091
    p000442  +0.000036
    p000443  +0.000080
    p000444  -0.000780
    p000445  +0.000000
    p000446  +0.000008
    p000447  +0.000120
    p000448  +0.000149
