# Point sélectionné : p000654
# Région : Edge  (bord d'alvéole)
# n_scales : 15

           t             τ          η°             κ
  --------------------------------------------------
      0.1720     -0.001021     67.2449       +0.7910
      0.2027     +0.002076    123.3621       -1.0871
      0.2389     +0.004933    150.2026       -1.7177
      0.2817     +0.007708    159.4703       -1.8374
      0.3320     +0.011361    164.3283       -1.8660
      0.3914     +0.016108    165.8169       -1.8524
      0.4613     +0.021764    160.6722       -1.7789
      0.5438     +0.011330    108.3772       -0.6645
      0.6410     -0.032589     38.0779       +1.3796
      0.7556     -0.049609     24.4787       +1.5326
      0.8907     -0.066529     18.4556       +1.5170
      1.0499     -0.084591     16.2056       +1.4452
      1.2376     -0.103004     16.2930       +1.3473
      1.4589     -0.119899     17.1720       +1.2417
      1.7197     -0.131530     17.7238       +1.1411
