# Valeurs sélectionnées pour la Figure 3 (τ, κ)
# Concavité  -> point p004659
# Bord       -> point p000654
# Jonction   -> point p004967

           t     Concavité_tau   Concavité_kappa          Bord_tau        Bord_kappa      Jonction_tau    Jonction_kappa
  ----------------------------------------------------------------------------------------------------------------------
      0.1720         +0.001644           -1.7659         -0.001021           +0.7910         -0.002094           +1.8033
      0.2027         +0.002903           -1.8057         +0.002076           -1.0871         -0.003048           +1.6224
      0.2389         +0.004587           -1.7870         +0.004933           -1.7177         -0.002333           +0.8148
      0.2817         +0.006954           -1.7711         +0.007708           -1.8374         +0.000870           -0.2071
      0.3320         +0.010199           -1.7516         +0.011361           -1.8660         +0.006133           -1.0124
      0.3914         +0.014220           -1.6910         +0.016108           -1.8524         +0.012242           -1.4115
      0.4613         +0.017626           -1.4762         +0.021764           -1.7789         +0.018473           -1.5109
      0.5438         +0.016249           -0.9670         +0.011330           -0.6645         +0.025864           -1.5159
      0.6410         +0.008534           -0.3668         -0.032589           +1.3796         +0.035420           -1.5002
      0.7556         -0.017437           +0.5436         -0.049609           +1.5326         +0.046709           -1.4430
      0.8907         -0.016286           +0.3746         -0.066529           +1.5170         +0.038226           -0.8705
      1.0499         -0.020526           +0.3536         -0.084591           +1.4452         -0.022100           +0.3788
      1.2376         -0.052599           +0.6924         -0.103004           +1.3473         -0.083282           +1.0901
      1.4589         -0.106052           +1.1039         -0.119899           +1.2417         -0.118908           +1.2318
      1.7197         -0.134637           +1.1730         -0.131530           +1.1411         -0.136784           +1.1868
